Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
KH1A_102_R1 - Adapter 1	(4, 1.1965470899325288)	(5, 0.8923617736419545)	(6, 1.3535688599903126)	(7, 0.9968883931192392)	(8, 1.2752465946453735)	(9, 10.112676056338028)	(10, 51.315789473684205)	(11, 83.43283582089552)	(12, 141.1764705882353)	(13, 125.88235294117648)	(14, 121.1764705882353)	(15, 108.82352941176471)	(16, 112.94117647058823)	(17, 125.29411764705883)	(18, 113.52941176470588)	(19, 127.05882352941177)	(20, 112.94117647058823)	(21, 135.88235294117646)	(22, 118.23529411764706)	(23, 110.58823529411765)	(24, 111.17647058823529)	(25, 115.88235294117648)	(26, 127.05882352941177)	(27, 123.52941176470588)	(28, 102.3529411764706)	(29, 118.23529411764706)	(30, 144.11764705882354)	(31, 120.0)	(32, 132.94117647058823)	(33, 124.11764705882354)	(34, 124.11764705882354)	(35, 135.88235294117646)	(36, 125.29411764705883)	(37, 118.23529411764706)	(38, 108.23529411764706)	(39, 112.3529411764706)	(40, 134.11764705882354)	(41, 113.52941176470588)	(42, 121.1764705882353)	(43, 109.41176470588236)	(44, 115.88235294117648)	(45, 121.1764705882353)	(46, 115.88235294117648)	(47, 119.41176470588236)	(48, 114.70588235294117)	(49, 128.23529411764707)	(50, 121.76470588235294)	(51, 107.05882352941177)	(52, 114.70588235294117)	(53, 125.88235294117648)	(54, 124.70588235294117)	(55, 114.11764705882354)	(56, 132.35294117647058)	(57, 135.88235294117646)	(58, 123.52941176470588)	(59, 121.1764705882353)	(60, 126.47058823529412)	(61, 125.29411764705883)	(62, 118.82352941176471)	(63, 125.88235294117648)	(64, 127.64705882352942)	(65, 134.7058823529412)	(66, 130.58823529411765)	(67, 126.47058823529412)	(68, 120.58823529411765)	(69, 108.82352941176471)	(70, 117.05882352941177)	(71, 121.76470588235294)	(72, 124.70588235294117)	(73, 108.82352941176471)	(74, 114.70588235294117)	(75, 120.58823529411765)	(76, 101.76470588235294)	(77, 107.05882352941177)	(78, 110.58823529411765)	(79, 123.52941176470588)	(80, 141.76470588235296)	(81, 119.41176470588236)	(82, 126.47058823529412)	(83, 119.41176470588236)	(84, 124.70588235294117)	(85, 111.17647058823529)	(86, 130.58823529411765)	(87, 116.47058823529412)	(88, 130.58823529411765)	(89, 118.82352941176471)	(90, 124.11764705882354)	(91, 130.0)	(92, 122.3529411764706)	(93, 140.58823529411765)	(94, 113.52941176470588)	(95, 135.29411764705884)	(96, 123.52941176470588)	(97, 108.23529411764706)	(98, 105.88235294117648)	(99, 112.94117647058823)	(100, 48.82352941176471)
KH1A_102_R2 - Adapter 1	(4, 1.2092707516317385)	(5, 0.9180108907839309)	(6, 1.3700077791313792)	(7, 1.056772148182939)	(8, 1.3644903710662282)	(9, 10.938967136150234)	(10, 50.526315789473685)	(11, 89.40298507462687)	(12, 131.1764705882353)	(13, 112.3529411764706)	(14, 122.3529411764706)	(15, 111.76470588235294)	(16, 134.11764705882354)	(17, 128.8235294117647)	(18, 123.52941176470588)	(19, 126.47058823529412)	(20, 111.76470588235294)	(21, 115.29411764705883)	(22, 108.23529411764706)	(23, 130.0)	(24, 108.82352941176471)	(25, 115.88235294117648)	(26, 138.8235294117647)	(27, 125.88235294117648)	(28, 122.94117647058823)	(29, 131.76470588235296)	(30, 132.35294117647058)	(31, 130.0)	(32, 120.58823529411765)	(33, 113.52941176470588)	(34, 131.76470588235296)	(35, 125.88235294117648)	(36, 120.58823529411765)	(37, 113.52941176470588)	(38, 119.41176470588236)	(39, 112.94117647058823)	(40, 130.58823529411765)	(41, 126.47058823529412)	(42, 111.76470588235294)	(43, 125.29411764705883)	(44, 118.82352941176471)	(45, 136.47058823529412)	(46, 124.11764705882354)	(47, 122.3529411764706)	(48, 137.64705882352942)	(49, 125.29411764705883)	(50, 116.47058823529412)	(51, 133.52941176470588)	(52, 140.58823529411765)	(53, 122.94117647058823)	(54, 124.11764705882354)	(55, 108.82352941176471)	(56, 128.23529411764707)	(57, 134.11764705882354)	(58, 116.47058823529412)	(59, 130.58823529411765)	(60, 120.58823529411765)	(61, 120.58823529411765)	(62, 129.41176470588235)	(63, 123.52941176470588)	(64, 143.52941176470588)	(65, 140.0)	(66, 140.0)	(67, 126.47058823529412)	(68, 122.3529411764706)	(69, 112.94117647058823)	(70, 108.82352941176471)	(71, 115.88235294117648)	(72, 113.52941176470588)	(73, 107.05882352941177)	(74, 122.3529411764706)	(75, 132.35294117647058)	(76, 122.3529411764706)	(77, 118.82352941176471)	(78, 128.8235294117647)	(79, 123.52941176470588)	(80, 147.05882352941177)	(81, 131.76470588235296)	(82, 141.1764705882353)	(83, 117.64705882352942)	(84, 114.11764705882354)	(85, 135.29411764705884)	(86, 133.52941176470588)	(87, 129.41176470588235)	(88, 118.82352941176471)	(89, 126.47058823529412)	(90, 132.35294117647058)	(91, 112.3529411764706)	(92, 132.94117647058823)	(93, 131.1764705882353)	(94, 117.64705882352942)	(95, 133.52941176470588)	(96, 134.7058823529412)	(97, 114.70588235294117)	(98, 121.76470588235294)	(99, 126.47058823529412)	(100, 31.764705882352942)
KH1B_101_R1 - Adapter 1	(4, 1.179788770223682)	(5, 0.905626831534558)	(6, 1.2679579729826318)	(7, 0.7533414337788579)	(8, 1.2864493996569468)	(9, 9.004576659038902)	(10, 46.80365296803653)	(11, 88.54545454545455)	(12, 155.0)	(13, 125.00000000000001)	(14, 97.14285714285715)	(15, 120.00000000000001)	(16, 110.71428571428572)	(17, 127.14285714285715)	(18, 124.28571428571429)	(19, 112.14285714285715)	(20, 138.57142857142858)	(21, 115.71428571428572)	(22, 126.42857142857143)	(23, 145.0)	(24, 136.42857142857144)	(25, 127.85714285714286)	(26, 132.14285714285714)	(27, 150.71428571428572)	(28, 115.71428571428572)	(29, 135.0)	(30, 127.85714285714286)	(31, 163.57142857142858)	(32, 132.85714285714286)	(33, 117.14285714285715)	(34, 119.28571428571429)	(35, 129.2857142857143)	(36, 119.28571428571429)	(37, 114.28571428571429)	(38, 129.2857142857143)	(39, 106.42857142857143)	(40, 126.42857142857143)	(41, 128.57142857142858)	(42, 123.57142857142858)	(43, 121.42857142857143)	(44, 113.57142857142858)	(45, 127.14285714285715)	(46, 132.85714285714286)	(47, 113.57142857142858)	(48, 153.57142857142858)	(49, 140.0)	(50, 135.0)	(51, 134.2857142857143)	(52, 129.2857142857143)	(53, 140.0)	(54, 110.71428571428572)	(55, 99.28571428571429)	(56, 129.2857142857143)	(57, 134.2857142857143)	(58, 131.42857142857144)	(59, 126.42857142857143)	(60, 125.71428571428572)	(61, 117.85714285714286)	(62, 119.28571428571429)	(63, 112.85714285714286)	(64, 112.85714285714286)	(65, 115.71428571428572)	(66, 122.14285714285715)	(67, 125.71428571428572)	(68, 132.14285714285714)	(69, 108.57142857142858)	(70, 120.00000000000001)	(71, 142.85714285714286)	(72, 121.42857142857143)	(73, 127.14285714285715)	(74, 132.85714285714286)	(75, 142.14285714285714)	(76, 130.71428571428572)	(77, 133.57142857142858)	(78, 135.71428571428572)	(79, 114.28571428571429)	(80, 154.2857142857143)	(81, 141.42857142857144)	(82, 123.57142857142858)	(83, 138.57142857142858)	(84, 122.85714285714286)	(85, 122.85714285714286)	(86, 162.85714285714286)	(87, 134.2857142857143)	(88, 115.00000000000001)	(89, 122.14285714285715)	(90, 122.14285714285715)	(91, 132.14285714285714)	(92, 154.2857142857143)	(93, 159.2857142857143)	(94, 120.00000000000001)	(95, 135.71428571428572)	(96, 150.0)	(97, 111.42857142857143)	(98, 117.85714285714286)	(99, 130.71428571428572)	(100, 36.42857142857143)
KH1B_101_R2 - Adapter 1	(4, 1.2052627640791)	(5, 0.9200557501250805)	(6, 1.3630190836966622)	(7, 0.8476877992995497)	(8, 1.3264722698684963)	(9, 9.610983981693364)	(10, 46.80365296803653)	(11, 87.63636363636364)	(12, 163.57142857142858)	(13, 126.42857142857143)	(14, 112.14285714285715)	(15, 137.85714285714286)	(16, 116.42857142857143)	(17, 114.28571428571429)	(18, 120.00000000000001)	(19, 130.71428571428572)	(20, 112.14285714285715)	(21, 132.14285714285714)	(22, 125.00000000000001)	(23, 143.57142857142858)	(24, 128.57142857142858)	(25, 117.85714285714286)	(26, 152.14285714285714)	(27, 144.2857142857143)	(28, 130.71428571428572)	(29, 150.0)	(30, 130.71428571428572)	(31, 148.57142857142858)	(32, 140.0)	(33, 127.85714285714286)	(34, 141.42857142857144)	(35, 146.42857142857144)	(36, 132.85714285714286)	(37, 144.2857142857143)	(38, 123.57142857142858)	(39, 105.0)	(40, 149.2857142857143)	(41, 120.71428571428572)	(42, 125.00000000000001)	(43, 126.42857142857143)	(44, 120.00000000000001)	(45, 142.14285714285714)	(46, 134.2857142857143)	(47, 127.14285714285715)	(48, 142.85714285714286)	(49, 145.71428571428572)	(50, 126.42857142857143)	(51, 146.42857142857144)	(52, 129.2857142857143)	(53, 132.14285714285714)	(54, 150.71428571428572)	(55, 135.71428571428572)	(56, 153.57142857142858)	(57, 136.42857142857144)	(58, 133.57142857142858)	(59, 125.00000000000001)	(60, 135.0)	(61, 146.42857142857144)	(62, 130.0)	(63, 122.14285714285715)	(64, 137.85714285714286)	(65, 145.71428571428572)	(66, 126.42857142857143)	(67, 147.85714285714286)	(68, 136.42857142857144)	(69, 104.28571428571429)	(70, 146.42857142857144)	(71, 140.0)	(72, 123.57142857142858)	(73, 127.85714285714286)	(74, 128.57142857142858)	(75, 151.42857142857144)	(76, 114.28571428571429)	(77, 125.00000000000001)	(78, 160.71428571428572)	(79, 126.42857142857143)	(80, 159.2857142857143)	(81, 135.0)	(82, 128.57142857142858)	(83, 132.14285714285714)	(84, 107.85714285714286)	(85, 150.0)	(86, 151.42857142857144)	(87, 133.57142857142858)	(88, 118.57142857142858)	(89, 131.42857142857144)	(90, 121.42857142857143)	(91, 137.85714285714286)	(92, 174.2857142857143)	(93, 159.2857142857143)	(94, 114.28571428571429)	(95, 144.2857142857143)	(96, 144.2857142857143)	(97, 110.71428571428572)	(98, 130.71428571428572)	(99, 116.42857142857143)	(100, 42.142857142857146)
KH2A_104_R1 - Adapter 1	(4, 1.1419760429725747)	(5, 0.8151597010227015)	(6, 1.2322288759718298)	(7, 0.6325036603221084)	(8, 1.0658233778402437)	(9, 9.953139643861293)	(10, 48.352059925093634)	(11, 85.82089552238806)	(12, 140.0)	(13, 120.58823529411765)	(14, 110.0)	(15, 109.41176470588236)	(16, 73.52941176470588)	(17, 124.11764705882354)	(18, 104.70588235294117)	(19, 112.3529411764706)	(20, 110.0)	(21, 100.0)	(22, 90.58823529411765)	(23, 91.76470588235294)	(24, 98.82352941176471)	(25, 104.11764705882354)	(26, 102.3529411764706)	(27, 101.76470588235294)	(28, 82.94117647058823)	(29, 114.70588235294117)	(30, 101.17647058823529)	(31, 92.94117647058823)	(32, 94.70588235294117)	(33, 105.29411764705883)	(34, 108.23529411764706)	(35, 115.88235294117648)	(36, 111.17647058823529)	(37, 112.94117647058823)	(38, 97.05882352941177)	(39, 100.58823529411765)	(40, 98.82352941176471)	(41, 115.29411764705883)	(42, 106.47058823529412)	(43, 88.82352941176471)	(44, 110.58823529411765)	(45, 94.11764705882354)	(46, 95.88235294117648)	(47, 105.88235294117648)	(48, 103.52941176470588)	(49, 76.47058823529412)	(50, 107.05882352941177)	(51, 97.05882352941177)	(52, 108.23529411764706)	(53, 115.29411764705883)	(54, 124.70588235294117)	(55, 100.0)	(56, 100.0)	(57, 117.05882352941177)	(58, 90.0)	(59, 108.82352941176471)	(60, 118.23529411764706)	(61, 88.82352941176471)	(62, 111.76470588235294)	(63, 100.58823529411765)	(64, 115.29411764705883)	(65, 81.17647058823529)	(66, 104.11764705882354)	(67, 91.76470588235294)	(68, 133.52941176470588)	(69, 108.23529411764706)	(70, 106.47058823529412)	(71, 91.17647058823529)	(72, 105.88235294117648)	(73, 91.17647058823529)	(74, 89.41176470588236)	(75, 102.3529411764706)	(76, 103.52941176470588)	(77, 100.58823529411765)	(78, 87.64705882352942)	(79, 91.17647058823529)	(80, 117.05882352941177)	(81, 110.58823529411765)	(82, 97.64705882352942)	(83, 91.76470588235294)	(84, 95.29411764705883)	(85, 106.47058823529412)	(86, 89.41176470588236)	(87, 110.0)	(88, 104.70588235294117)	(89, 89.41176470588236)	(90, 111.76470588235294)	(91, 91.76470588235294)	(92, 96.47058823529412)	(93, 118.82352941176471)	(94, 101.76470588235294)	(95, 101.76470588235294)	(96, 111.17647058823529)	(97, 110.0)	(98, 79.41176470588235)	(99, 98.82352941176471)	(100, 32.35294117647059)
KH2A_104_R2 - Adapter 1	(4, 1.1427721703163463)	(5, 0.8049107240902204)	(6, 1.2594620711869866)	(7, 0.6079062957540263)	(8, 1.0236589365190911)	(9, 9.128397375820056)	(10, 48.46441947565543)	(11, 86.26865671641791)	(12, 144.11764705882354)	(13, 106.47058823529412)	(14, 111.17647058823529)	(15, 114.11764705882354)	(16, 99.41176470588236)	(17, 117.05882352941177)	(18, 107.64705882352942)	(19, 106.47058823529412)	(20, 124.11764705882354)	(21, 100.58823529411765)	(22, 112.3529411764706)	(23, 108.23529411764706)	(24, 92.94117647058823)	(25, 103.52941176470588)	(26, 100.0)	(27, 117.05882352941177)	(28, 104.11764705882354)	(29, 111.17647058823529)	(30, 110.58823529411765)	(31, 94.11764705882354)	(32, 110.0)	(33, 116.47058823529412)	(34, 112.3529411764706)	(35, 126.47058823529412)	(36, 101.76470588235294)	(37, 108.23529411764706)	(38, 117.05882352941177)	(39, 84.70588235294117)	(40, 105.88235294117648)	(41, 115.29411764705883)	(42, 95.88235294117648)	(43, 89.41176470588236)	(44, 108.82352941176471)	(45, 105.88235294117648)	(46, 81.17647058823529)	(47, 104.11764705882354)	(48, 108.82352941176471)	(49, 96.47058823529412)	(50, 107.64705882352942)	(51, 108.23529411764706)	(52, 108.82352941176471)	(53, 117.64705882352942)	(54, 108.82352941176471)	(55, 93.52941176470588)	(56, 111.17647058823529)	(57, 114.11764705882354)	(58, 95.29411764705883)	(59, 92.94117647058823)	(60, 108.82352941176471)	(61, 100.0)	(62, 103.52941176470588)	(63, 110.0)	(64, 107.05882352941177)	(65, 101.17647058823529)	(66, 124.70588235294117)	(67, 119.41176470588236)	(68, 130.58823529411765)	(69, 110.58823529411765)	(70, 99.41176470588236)	(71, 107.05882352941177)	(72, 108.82352941176471)	(73, 97.64705882352942)	(74, 91.76470588235294)	(75, 107.05882352941177)	(76, 84.70588235294117)	(77, 109.41176470588236)	(78, 86.47058823529412)	(79, 91.17647058823529)	(80, 100.0)	(81, 89.41176470588236)	(82, 105.29411764705883)	(83, 104.70588235294117)	(84, 106.47058823529412)	(85, 93.52941176470588)	(86, 90.58823529411765)	(87, 100.0)	(88, 106.47058823529412)	(89, 105.29411764705883)	(90, 109.41176470588236)	(91, 108.23529411764706)	(92, 107.05882352941177)	(93, 120.0)	(94, 104.70588235294117)	(95, 123.52941176470588)	(96, 104.70588235294117)	(97, 97.64705882352942)	(98, 88.82352941176471)	(99, 94.11764705882354)	(100, 28.235294117647058)
KH2B_103_R1 - Adapter 1	(4, 1.2108099589775747)	(5, 0.947046676012594)	(6, 1.3388577356954312)	(7, 0.7059935914272206)	(8, 1.067451145198571)	(9, 9.361344537815127)	(10, 43.2996632996633)	(11, 78.1081081081081)	(12, 122.63157894736842)	(13, 102.63157894736842)	(14, 94.73684210526316)	(15, 105.78947368421053)	(16, 97.36842105263159)	(17, 102.10526315789474)	(18, 95.78947368421053)	(19, 96.31578947368422)	(20, 114.21052631578948)	(21, 96.31578947368422)	(22, 94.21052631578948)	(23, 97.36842105263159)	(24, 112.10526315789474)	(25, 88.94736842105263)	(26, 92.63157894736842)	(27, 97.36842105263159)	(28, 95.78947368421053)	(29, 92.10526315789474)	(30, 112.63157894736842)	(31, 82.63157894736842)	(32, 94.73684210526316)	(33, 100.52631578947368)	(34, 91.57894736842105)	(35, 112.10526315789474)	(36, 106.31578947368422)	(37, 104.21052631578948)	(38, 96.31578947368422)	(39, 108.94736842105263)	(40, 105.26315789473685)	(41, 92.63157894736842)	(42, 92.10526315789474)	(43, 96.31578947368422)	(44, 108.42105263157896)	(45, 93.6842105263158)	(46, 100.0)	(47, 104.73684210526316)	(48, 95.26315789473685)	(49, 83.15789473684211)	(50, 98.42105263157895)	(51, 95.78947368421053)	(52, 110.52631578947368)	(53, 95.78947368421053)	(54, 103.6842105263158)	(55, 101.57894736842105)	(56, 86.31578947368422)	(57, 103.6842105263158)	(58, 91.05263157894737)	(59, 97.36842105263159)	(60, 88.94736842105263)	(61, 84.73684210526316)	(62, 105.78947368421053)	(63, 92.10526315789474)	(64, 93.6842105263158)	(65, 81.57894736842105)	(66, 110.52631578947368)	(67, 95.26315789473685)	(68, 101.05263157894737)	(69, 93.6842105263158)	(70, 99.47368421052632)	(71, 85.26315789473685)	(72, 96.8421052631579)	(73, 98.42105263157895)	(74, 86.31578947368422)	(75, 97.89473684210527)	(76, 91.05263157894737)	(77, 82.10526315789474)	(78, 74.21052631578948)	(79, 101.05263157894737)	(80, 92.63157894736842)	(81, 97.89473684210527)	(82, 94.21052631578948)	(83, 92.10526315789474)	(84, 91.05263157894737)	(85, 85.26315789473685)	(86, 94.21052631578948)	(87, 96.8421052631579)	(88, 111.57894736842105)	(89, 93.15789473684211)	(90, 88.42105263157895)	(91, 95.26315789473685)	(92, 92.63157894736842)	(93, 106.8421052631579)	(94, 101.05263157894737)	(95, 109.47368421052632)	(96, 104.73684210526316)	(97, 92.63157894736842)	(98, 77.89473684210526)	(99, 85.26315789473685)	(100, 55.78947368421053)
KH2B_103_R2 - Adapter 1	(4, 1.2313047560733381)	(5, 0.9574213119974785)	(6, 1.3730022193914402)	(7, 0.7784840048326942)	(8, 1.15780626181971)	(9, 9.478991596638656)	(10, 46.666666666666664)	(11, 88.51351351351352)	(12, 126.31578947368422)	(13, 124.73684210526316)	(14, 114.73684210526316)	(15, 119.47368421052632)	(16, 81.57894736842105)	(17, 106.8421052631579)	(18, 87.36842105263159)	(19, 104.73684210526316)	(20, 110.0)	(21, 104.21052631578948)	(22, 108.42105263157896)	(23, 90.0)	(24, 107.89473684210527)	(25, 96.8421052631579)	(26, 89.47368421052632)	(27, 90.0)	(28, 94.21052631578948)	(29, 97.36842105263159)	(30, 97.36842105263159)	(31, 105.26315789473685)	(32, 107.89473684210527)	(33, 103.6842105263158)	(34, 110.52631578947368)	(35, 119.47368421052632)	(36, 104.21052631578948)	(37, 114.21052631578948)	(38, 115.26315789473685)	(39, 94.73684210526316)	(40, 127.36842105263159)	(41, 106.8421052631579)	(42, 88.94736842105263)	(43, 94.21052631578948)	(44, 105.78947368421053)	(45, 102.10526315789474)	(46, 95.26315789473685)	(47, 112.63157894736842)	(48, 114.21052631578948)	(49, 92.63157894736842)	(50, 107.89473684210527)	(51, 85.78947368421053)	(52, 103.6842105263158)	(53, 89.47368421052632)	(54, 105.26315789473685)	(55, 94.73684210526316)	(56, 103.6842105263158)	(57, 110.52631578947368)	(58, 95.26315789473685)	(59, 98.42105263157895)	(60, 119.47368421052632)	(61, 73.6842105263158)	(62, 101.05263157894737)	(63, 102.63157894736842)	(64, 92.63157894736842)	(65, 92.63157894736842)	(66, 105.78947368421053)	(67, 111.57894736842105)	(68, 106.8421052631579)	(69, 98.94736842105263)	(70, 96.8421052631579)	(71, 93.15789473684211)	(72, 105.78947368421053)	(73, 86.8421052631579)	(74, 87.89473684210526)	(75, 112.10526315789474)	(76, 86.8421052631579)	(77, 101.05263157894737)	(78, 100.0)	(79, 103.15789473684211)	(80, 109.47368421052632)	(81, 87.89473684210526)	(82, 88.42105263157895)	(83, 94.73684210526316)	(84, 99.47368421052632)	(85, 87.36842105263159)	(86, 101.05263157894737)	(87, 105.26315789473685)	(88, 106.8421052631579)	(89, 106.31578947368422)	(90, 105.78947368421053)	(91, 107.89473684210527)	(92, 92.10526315789474)	(93, 102.10526315789474)	(94, 98.94736842105263)	(95, 97.36842105263159)	(96, 113.15789473684211)	(97, 98.94736842105263)	(98, 95.26315789473685)	(99, 93.6842105263158)	(100, 60.526315789473685)
KH3A_106_R1 - Adapter 1	(4, 1.104485395016178)	(5, 0.8879748258035514)	(6, 1.1587427173991225)	(7, 0.8019851830540171)	(8, 1.0558112773302646)	(9, 8.204833141542002)	(10, 41.566820276497694)	(11, 77.77777777777777)	(12, 103.57142857142858)	(13, 96.42857142857143)	(14, 99.28571428571429)	(15, 109.28571428571429)	(16, 90.71428571428572)	(17, 97.14285714285715)	(18, 101.42857142857143)	(19, 92.85714285714286)	(20, 110.0)	(21, 85.71428571428572)	(22, 87.14285714285715)	(23, 102.85714285714286)	(24, 99.28571428571429)	(25, 90.71428571428572)	(26, 97.85714285714286)	(27, 110.71428571428572)	(28, 92.14285714285715)	(29, 89.28571428571429)	(30, 92.85714285714286)	(31, 86.42857142857143)	(32, 130.71428571428572)	(33, 102.14285714285715)	(34, 149.2857142857143)	(35, 97.14285714285715)	(36, 105.71428571428572)	(37, 132.14285714285714)	(38, 125.00000000000001)	(39, 105.0)	(40, 102.85714285714286)	(41, 112.85714285714286)	(42, 95.0)	(43, 92.85714285714286)	(44, 105.0)	(45, 102.85714285714286)	(46, 99.28571428571429)	(47, 96.42857142857143)	(48, 95.0)	(49, 92.85714285714286)	(50, 94.28571428571429)	(51, 102.85714285714286)	(52, 112.85714285714286)	(53, 96.42857142857143)	(54, 130.71428571428572)	(55, 104.28571428571429)	(56, 102.14285714285715)	(57, 100.71428571428572)	(58, 97.14285714285715)	(59, 95.0)	(60, 100.0)	(61, 85.0)	(62, 106.42857142857143)	(63, 115.00000000000001)	(64, 89.28571428571429)	(65, 101.42857142857143)	(66, 110.0)	(67, 100.71428571428572)	(68, 100.0)	(69, 98.57142857142858)	(70, 97.85714285714286)	(71, 97.85714285714286)	(72, 92.85714285714286)	(73, 105.0)	(74, 84.28571428571429)	(75, 122.14285714285715)	(76, 115.71428571428572)	(77, 77.85714285714286)	(78, 106.42857142857143)	(79, 95.71428571428572)	(80, 100.0)	(81, 116.42857142857143)	(82, 102.85714285714286)	(83, 103.57142857142858)	(84, 95.0)	(85, 107.85714285714286)	(86, 101.42857142857143)	(87, 90.71428571428572)	(88, 112.14285714285715)	(89, 94.28571428571429)	(90, 105.71428571428572)	(91, 98.57142857142858)	(92, 89.28571428571429)	(93, 121.42857142857143)	(94, 98.57142857142858)	(95, 92.85714285714286)	(96, 97.85714285714286)	(97, 86.42857142857143)	(98, 107.85714285714286)	(99, 91.42857142857143)	(100, 30.714285714285715)
KH3A_106_R2 - Adapter 1	(4, 1.1231750091874682)	(5, 0.8964261631827377)	(6, 1.2448752067899016)	(7, 0.8314752211752859)	(8, 1.268699654775604)	(9, 9.06789413118527)	(10, 40.96774193548387)	(11, 79.62962962962962)	(12, 120.71428571428572)	(13, 92.85714285714286)	(14, 96.42857142857143)	(15, 107.85714285714286)	(16, 120.00000000000001)	(17, 106.42857142857143)	(18, 116.42857142857143)	(19, 106.42857142857143)	(20, 130.71428571428572)	(21, 98.57142857142858)	(22, 87.85714285714286)	(23, 101.42857142857143)	(24, 89.28571428571429)	(25, 97.85714285714286)	(26, 103.57142857142858)	(27, 103.57142857142858)	(28, 100.0)	(29, 112.14285714285715)	(30, 110.71428571428572)	(31, 97.14285714285715)	(32, 115.00000000000001)	(33, 104.28571428571429)	(34, 135.71428571428572)	(35, 105.71428571428572)	(36, 102.85714285714286)	(37, 122.85714285714286)	(38, 142.85714285714286)	(39, 119.28571428571429)	(40, 85.71428571428572)	(41, 104.28571428571429)	(42, 97.85714285714286)	(43, 107.14285714285715)	(44, 115.71428571428572)	(45, 104.28571428571429)	(46, 122.14285714285715)	(47, 102.85714285714286)	(48, 102.14285714285715)	(49, 109.28571428571429)	(50, 107.85714285714286)	(51, 119.28571428571429)	(52, 110.71428571428572)	(53, 95.0)	(54, 132.14285714285714)	(55, 104.28571428571429)	(56, 91.42857142857143)	(57, 112.14285714285715)	(58, 97.85714285714286)	(59, 97.14285714285715)	(60, 105.0)	(61, 90.0)	(62, 97.14285714285715)	(63, 107.85714285714286)	(64, 107.14285714285715)	(65, 105.71428571428572)	(66, 110.71428571428572)	(67, 107.85714285714286)	(68, 102.14285714285715)	(69, 93.57142857142858)	(70, 127.85714285714286)	(71, 93.57142857142858)	(72, 105.71428571428572)	(73, 96.42857142857143)	(74, 96.42857142857143)	(75, 102.14285714285715)	(76, 105.71428571428572)	(77, 116.42857142857143)	(78, 100.0)	(79, 92.85714285714286)	(80, 107.85714285714286)	(81, 112.85714285714286)	(82, 105.0)	(83, 88.57142857142858)	(84, 103.57142857142858)	(85, 108.57142857142858)	(86, 115.71428571428572)	(87, 107.85714285714286)	(88, 113.57142857142858)	(89, 87.14285714285715)	(90, 112.14285714285715)	(91, 97.85714285714286)	(92, 92.85714285714286)	(93, 105.0)	(94, 108.57142857142858)	(95, 110.71428571428572)	(96, 106.42857142857143)	(97, 102.14285714285715)	(98, 92.85714285714286)	(99, 112.85714285714286)	(100, 27.857142857142858)
