Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
KH1A_102_R1	(1, 0.01690290661550811)	(2, 0.027570693979164593)	(3, 7.166803737760487e-06)	(4, 0.0)	(5, 0.0011072711774839953)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00038700740183906634)	(26, 4.6584224295443174e-05)	(28, 0.00020604560746061403)	(30, 0.0)	(32, 0.0)	(34, 0.0016967407849147952)	(36, 0.0)	(38, 0.0009030172709578215)	(40, 0.00010391865419752707)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0007148886728416087)	(78, 0.002449255177379647)	(80, 0.0004658422429544317)	(82, 0.0024743389904618085)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00011287715886972769)	(94, 1.7917009344401218e-06)	(96, 0.0002526298317560572)	(98, 0.0)	(100, 0.0)
KH1A_102_R2	(1, 0.00897642168154501)	(2, 0.0)	(3, 0.000530343476594276)	(4, 0.0006450123363984439)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00034579828034694355)	(68, 0.0)	(70, 0.0)	(72, 8.958504672200609e-06)	(74, 0.0)	(76, 3.5834018688802437e-06)	(78, 1.7917009344401218e-06)	(80, 3.5834018688802437e-06)	(82, 0.0)	(84, 1.7917009344401218e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.00011287715886972769)	(96, 0.0)	(98, 3.22506168199222e-05)	(100, 0.0)
KH1B_101_R1	(1, 0.014923979100147316)	(2, 0.026999271163639794)	(3, 0.0)	(4, 0.0)	(5, 0.0010513531023488756)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0003664467244701475)	(26, 3.053722703917896e-05)	(28, 0.00017667967072667825)	(30, 0.0)	(32, 0.0)	(34, 0.0017362594802276038)	(36, 0.0)	(38, 0.0008921232756445853)	(40, 8.943045061473837e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0007459808319570859)	(78, 0.0023971723225755482)	(80, 0.0004995017851408558)	(82, 0.002571670762799428)	(84, 2.1812305027984966e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00011342398614552184)	(94, 8.724922011193986e-06)	(96, 0.00023339166379943916)	(98, 0.0)	(100, 0.0)
KH1B_101_R2	(1, 0.008197064229516752)	(2, 0.0)	(3, 0.0005671199307276092)	(4, 0.0006718189948619371)	(5, 4.362461005596993e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00032500334491697604)	(68, 0.0)	(70, 0.0)	(72, 4.362461005596993e-06)	(74, 0.0)	(76, 6.5436915083954905e-06)	(78, 6.5436915083954905e-06)	(80, 8.724922011193986e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0001439612131847008)	(96, 0.0)	(98, 3.4899688044775945e-05)	(100, 0.0)
KH2A_104_R1	(1, 0.013955100251345512)	(2, 0.0216511378643442)	(3, 6.791672765767538e-05)	(4, 0.0)	(5, 0.003667503293514471)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 8.936411533904657e-06)	(14, 0.0)	(16, 0.00018051551298487405)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00023055941757474014)	(26, 0.0)	(28, 0.0)	(30, 7.149129227123725e-05)	(32, 0.0006112505489190785)	(34, 0.0005629939266359933)	(36, 0.0003699674375036528)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 8.936411533904657e-06)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 3.395836382883769e-05)	(76, 0.0006648690181225063)	(78, 0.0011527970878737006)	(80, 0.00026630506371035876)	(82, 0.00041822405978673787)	(84, 0.0)	(86, 0.0)	(88, 1.9660105374590243e-05)	(90, 0.0)	(92, 1.4298258454247449e-05)	(94, 0.0001894519245187787)	(96, 8.936411533904656e-05)	(98, 0.0)	(100, 0.0)
KH2A_104_R2	(1, 0.01069152275916353)	(2, 8.57895507254847e-05)	(3, 0.0016478742868520184)	(4, 0.0016764708037605132)	(5, 2.1447387681371174e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.7872823067809311e-06)	(18, 0.0)	(20, 3.9320210749180487e-05)	(22, 2.1447387681371174e-05)	(24, 0.0)	(26, 0.0)	(28, 0.00018409007759843593)	(30, 1.7872823067809311e-06)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.000182302795291655)	(58, 1.7872823067809313e-05)	(60, 1.9660105374590243e-05)	(62, 0.0)	(64, 0.0)	(66, 4.289477536274235e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.00012332247916788425)	(80, 7.50658568847991e-05)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
KH2B_103_R1	(1, 0.014931089670731802)	(2, 0.027572980710391555)	(3, 3.2061605477199484e-06)	(4, 0.0)	(5, 0.0011894855632041009)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0003687084629877941)	(26, 4.1680087120359335e-05)	(28, 0.0002051942750540767)	(30, 0.0)	(32, 0.0)	(34, 0.0017168989733040325)	(36, 0.0)	(38, 0.0009474204418512448)	(40, 0.00011542177971791815)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0007710816117266476)	(78, 0.0023709557250389023)	(80, 0.0005370318917430914)	(82, 0.0025793561606406988)	(84, 1.6030802738599742e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00010420021780089831)	(94, 9.618481643159846e-06)	(96, 0.0002196219975188165)	(98, 0.0)	(100, 0.0)
KH2B_103_R2	(1, 0.008470676167076103)	(2, 0.0)	(3, 0.0005097795270874718)	(4, 0.0006155828251622301)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0003061883323072551)	(68, 0.0)	(70, 0.0)	(72, 8.01540136929987e-06)	(74, 1.6030802738599742e-06)	(76, 1.6030802738599742e-06)	(78, 1.6030802738599742e-06)	(80, 3.2061605477199484e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.00011381869944405816)	(96, 0.0)	(98, 3.206160547719948e-05)	(100, 0.0)
KH3A_106_R1	(1, 0.012327228384690126)	(2, 0.021010724732595066)	(3, 8.341073337219104e-05)	(4, 0.0)	(5, 0.0037534830017485967)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.195019299268185e-06)	(14, 0.0)	(16, 0.0002041367948319412)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00021291687202901397)	(26, 0.0)	(28, 0.0)	(30, 7.024061757658192e-05)	(32, 0.0005619249406126554)	(34, 0.0005465598055177781)	(36, 0.0003951034738682733)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.195019299268185e-06)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 3.073027018975459e-05)	(76, 0.0006782609634738691)	(78, 0.0011414100356194562)	(80, 0.0002985226247004731)	(82, 0.0004280287633572961)	(84, 0.0)	(86, 0.0)	(88, 3.731532808755914e-05)	(90, 0.0)	(92, 1.0975096496340924e-05)	(94, 0.00015365135094877296)	(96, 7.24356368758501e-05)	(98, 0.0)	(100, 0.0)
KH3A_106_R2	(1, 0.008894218200634687)	(2, 9.219081056926376e-05)	(3, 0.0015013932006994384)	(4, 0.0015628537410789477)	(5, 2.634023159121822e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 2.195019299268185e-06)	(18, 0.0)	(20, 3.073027018975459e-05)	(22, 1.5365135094877294e-05)	(24, 0.0)	(26, 0.0)	(28, 0.00018218660183925934)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.00016901648604365026)	(58, 1.5365135094877294e-05)	(60, 1.9755173693413666e-05)	(62, 0.0)	(64, 0.0)	(66, 4.3900385985363697e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.00011414100356194562)	(80, 6.804559827731373e-05)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
