Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
KH1A_102_R1	(20.0, 2.0)	(21.0, 9.0)	(22.0, 89.0)	(23.0, 394.0)	(24.0, 1426.0)	(25.0, 3868.0)	(26.0, 9386.0)	(27.0, 19161.0)	(28.0, 36989.0)	(29.0, 66180.0)	(30.0, 112861.0)	(31.0, 191417.0)	(32.0, 322136.0)	(33.0, 554221.0)	(34.0, 1001166.0)	(35.0, 1928066.0)	(36.0, 4083664.0)	(37.0, 8333668.0)	(38.0, 9315179.0)	(39.0, 1924324.0)	(40.0, 2237.0)				
KH1A_102_R2	(17.0, 3.0)	(18.0, 28.0)	(19.0, 100.0)	(20.0, 258.0)	(21.0, 586.0)	(22.0, 1342.0)	(23.0, 2679.0)	(24.0, 5181.0)	(25.0, 9443.0)	(26.0, 16704.0)	(27.0, 28554.0)	(28.0, 48098.0)	(29.0, 79473.0)	(30.0, 130244.0)	(31.0, 216729.0)	(32.0, 362481.0)	(33.0, 620427.0)	(34.0, 1103030.0)	(35.0, 2050873.0)	(36.0, 4072505.0)	(37.0, 7719684.0)	(38.0, 8885603.0)	(39.0, 2544813.0)	(40.0, 7605.0)	
KH1B_101_R1	(21.0, 7.0)	(22.0, 56.0)	(23.0, 245.0)	(24.0, 870.0)	(25.0, 2432.0)	(26.0, 5893.0)	(27.0, 12428.0)	(28.0, 24475.0)	(29.0, 45433.0)	(30.0, 80307.0)	(31.0, 139156.0)	(32.0, 242509.0)	(33.0, 429887.0)	(34.0, 801260.0)	(35.0, 1592024.0)	(36.0, 3455148.0)	(37.0, 7067711.0)	(38.0, 7611939.0)	(39.0, 1410723.0)	(40.0, 338.0)					
KH1B_101_R2	(17.0, 1.0)	(18.0, 5.0)	(19.0, 71.0)	(20.0, 223.0)	(21.0, 652.0)	(22.0, 1458.0)	(23.0, 3138.0)	(24.0, 6035.0)	(25.0, 10826.0)	(26.0, 18868.0)	(27.0, 31640.0)	(28.0, 51288.0)	(29.0, 82441.0)	(30.0, 132205.0)	(31.0, 212468.0)	(32.0, 344374.0)	(33.0, 573125.0)	(34.0, 993440.0)	(35.0, 1809195.0)	(36.0, 3497797.0)	(37.0, 6409101.0)	(38.0, 6958939.0)	(39.0, 1783519.0)	(40.0, 2032.0)	
KH2A_104_R1	(20.0, 1.0)	(21.0, 7.0)	(22.0, 59.0)	(23.0, 320.0)	(24.0, 1085.0)	(25.0, 3022.0)	(26.0, 7089.0)	(27.0, 15006.0)	(28.0, 28713.0)	(29.0, 52336.0)	(30.0, 90592.0)	(31.0, 154503.0)	(32.0, 262422.0)	(33.0, 457402.0)	(34.0, 832299.0)	(35.0, 1639333.0)	(36.0, 3641700.0)	(37.0, 8253467.0)	(38.0, 10291640.0)	(39.0, 2243619.0)	(40.0, 820.0)				
KH2A_104_R2	(17.0, 1.0)	(18.0, 8.0)	(19.0, 47.0)	(20.0, 148.0)	(21.0, 403.0)	(22.0, 904.0)	(23.0, 2033.0)	(24.0, 4201.0)	(25.0, 7811.0)	(26.0, 14069.0)	(27.0, 24185.0)	(28.0, 41563.0)	(29.0, 68840.0)	(30.0, 114160.0)	(31.0, 189376.0)	(32.0, 317382.0)	(33.0, 546691.0)	(34.0, 978474.0)	(35.0, 1851478.0)	(36.0, 3798709.0)	(37.0, 7732827.0)	(38.0, 9554343.0)	(39.0, 2723789.0)	(40.0, 3993.0)	
KH2B_103_R1	(21.0, 9.0)	(22.0, 77.0)	(23.0, 448.0)	(24.0, 1457.0)	(25.0, 4026.0)	(26.0, 9395.0)	(27.0, 20093.0)	(28.0, 38570.0)	(29.0, 69927.0)	(30.0, 122394.0)	(31.0, 209166.0)	(32.0, 361721.0)	(33.0, 633703.0)	(34.0, 1170597.0)	(35.0, 2309406.0)	(36.0, 4974270.0)	(37.0, 9887066.0)	(38.0, 9756326.0)	(39.0, 1620864.0)	(40.0, 439.0)					
KH2B_103_R2	(17.0, 1.0)	(18.0, 6.0)	(19.0, 62.0)	(20.0, 199.0)	(21.0, 542.0)	(22.0, 1334.0)	(23.0, 2909.0)	(24.0, 5749.0)	(25.0, 10706.0)	(26.0, 19603.0)	(27.0, 34004.0)	(28.0, 58128.0)	(29.0, 96729.0)	(30.0, 159725.0)	(31.0, 265032.0)	(32.0, 442881.0)	(33.0, 757731.0)	(34.0, 1346543.0)	(35.0, 2508315.0)	(36.0, 4946962.0)	(37.0, 9082506.0)	(38.0, 9304899.0)	(39.0, 2142959.0)	(40.0, 2429.0)	
KH3A_106_R1	(21.0, 6.0)	(22.0, 41.0)	(23.0, 256.0)	(24.0, 928.0)	(25.0, 2478.0)	(26.0, 6001.0)	(27.0, 12663.0)	(28.0, 24909.0)	(29.0, 45745.0)	(30.0, 82683.0)	(31.0, 145161.0)	(32.0, 257749.0)	(33.0, 468530.0)	(34.0, 893958.0)	(35.0, 1813022.0)	(36.0, 3838401.0)	(37.0, 6966308.0)	(38.0, 6779953.0)	(39.0, 1439344.0)	(40.0, 707.0)					
KH3A_106_R2	(18.0, 6.0)	(19.0, 39.0)	(20.0, 119.0)	(21.0, 314.0)	(22.0, 840.0)	(23.0, 1850.0)	(24.0, 3848.0)	(25.0, 7377.0)	(26.0, 13765.0)	(27.0, 23849.0)	(28.0, 40329.0)	(29.0, 68867.0)	(30.0, 116720.0)	(31.0, 198224.0)	(32.0, 339292.0)	(33.0, 594355.0)	(34.0, 1071978.0)	(35.0, 2006728.0)	(36.0, 3829463.0)	(37.0, 6388852.0)	(38.0, 6314887.0)	(39.0, 1754016.0)	(40.0, 3125.0)		
