Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
KH1A_102_R1	5.2	27906443	187429	27906443	2779948625	240388	2777949728	0.07190409858743343
KH1A_102_R2	5.2	27906443	190351	27906443	2779720364	303331	2777616123	0.07569973682431892
KH1B_101_R1	5.2	22922841	152642	22922841	2283441118	202832	2281751726	0.0739844783683185
KH1B_101_R2	5.2	22922841	156693	22922841	2283222819	288878	2281393822	0.08010593555652441
KH2A_104_R1	5.2	27975435	175388	27975435	2786121054	197108	2784369898	0.0628528325244837
KH2A_104_R2	5.2	27975435	175638	27975435	2785797639	290826	2783935425	0.06684670752569333
KH2B_103_R1	5.2	31189954	207699	31189954	3107059340	287058	3105035030	0.06515195812127618
KH2B_103_R2	5.2	31189954	211923	31189954	3106738373	378747	3104561206	0.07007886531164946
KH3A_106_R1	5.2	22778843	140537	22778843	2268525212	203421	2267063701	0.06442560092649303
KH3A_106_R2	5.2	22778843	143601	22778843	2268346811	304763	2266744870	0.07062152014108393
KH3B_105_R1	5.2	27024458	187063	27024458	2691304904	215089	2689216250	0.07760748315420155
KH3B_105_R2	5.2	27024458	192577	27024458	2691117704	319539	2688860597	0.08387247412646058
WH1A_090_R1	5.2	30874067	187137	30874067	3076640160	140324	3074918194	0.05596904124140407
WH1A_090_R2	5.2	30874067	191367	30874067	3076223313	162163	3074408331	0.05900033304896808
WH1B_089_R1	5.2	30555989	210870	30555989	3044919254	136717	3042842701	0.0681973092479253
WH1B_089_R2	5.2	30555989	215360	30555989	3044502097	166783	3042362013	0.0702933987829669
WH2A_092_R1	5.2	42624502	275820	42624502	4246965995	185450	4244157351	0.06613295240194171
WH2A_092_R2	5.2	42624502	278835	42624502	4246031423	286221	4243076892	0.06958335220968524
WH2B_091_R1	5.2	34973587	214979	34973587	3485415560	139426	3483338490	0.05959318090609546
WH2B_091_R2	5.2	34973587	217344	34973587	3484976345	143877	3482869164	0.060464714574698215
WH3A_094_R1	5.2	37266360	202990	37266360	3712798023	193369	3710957306	0.0495776228223875
WH3A_094_R2	5.2	37266360	122223	37266360	3712244186	281131	3710913780	0.035838321331806915
WH3B_093_R1	5.2	38381490	234037	38381490	3823992698	205671	3821776081	0.057966036419455524
WH3B_093_R2	5.2	38381490	243134	38381490	3823428744	294709	3821019737	0.06300645732656551
