.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
KH1A_102_R1	1	1	1	0.25	1	1	0.5	1	1	1
KH1A_102_R2	1	1	1	0.25	1	1	0.5	1	1	1
KH1B_101_R1	1	1	1	0.5	1	1	0.5	1	1	1
KH1B_101_R2	1	1	1	0.5	1	1	0.5	1	1	1
KH2A_104_R1	1	1	1	0.5	1	1	0.5	0.5	1	1
KH2A_104_R2	1	1	1	0.25	1	1	0.5	0.5	1	1
KH2B_103_R1	1	1	1	0.5	1	1	0.5	0.5	1	1
KH2B_103_R2	1	1	1	0.5	1	1	0.5	0.5	1	1
KH3A_106_R1	1	1	1	0.25	1	1	0.5	1	1	1
KH3A_106_R2	1	1	1	0.25	1	1	0.5	1	1	1
KH3B_105_R1	1	1	1	0.5	1	1	0.5	1	1	1
KH3B_105_R2	1	1	1	0.5	1	1	0.5	1	1	1
WH1A_090_R1	1	1	1	0.25	1	0.5	0.5	1	1	1
WH1A_090_R2	1	1	1	0.25	1	0.5	0.5	1	1	1
WH1B_089_R1	1	1	1	0.25	1	0.5	0.5	1	1	1
WH1B_089_R2	1	1	1	0.25	1	1	0.5	1	1	1
WH2A_092_R1	1	1	1	0.5	1	1	0.5	0.5	1	1
WH2A_092_R2	1	1	1	0.5	1	1	0.5	0.5	1	1
WH2B_091_R1	1	1	1	0.5	0.5	0.5	0.5	1	1	1
WH2B_091_R2	1	1	1	0.5	1	0.5	0.5	1	1	1
WH3A_094_R1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
WH3A_094_R2	1	1	1	0.5	0.5	1	0.5	0.5	1	1
WH3B_093_R1	1	1	1	0.5	1	1	0.5	1	1	1
WH3B_093_R2	1	1	1	0.5	1	1	0.5	1	1	1
