Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KH1A_102_R1	(1.0, 67.66853237370613)	(2.0, 18.414315808108707)	(3.0, 6.737396529064799)	(4.0, 2.9556047123805684)	(5.0, 1.4382144940898665)	(6.0, 0.7929411691088123)	(7.0, 0.4491634280673831)	(8.0, 0.3387402921970112)	(9.0, 0.2177898903955439)	('>10', 0.9428378974506544)	('>50', 0.023640544689111326)	('>100', 0.006457935993328867)	('>500', 0.0)	('>1k', 0.014364924748030273)	('>5k', 0.0)	('>10k+', 0.0)
KH1A_102_R2	(1.0, 67.82523131268255)	(2.0, 18.497132051790388)	(3.0, 6.570315679795029)	(4.0, 2.9105485247619667)	(5.0, 1.4935919076000383)	(6.0, 0.7365483762927159)	(7.0, 0.44716268875027537)	(8.0, 0.3266192821812151)	(9.0, 0.21475938694871122)	('>10', 0.9446825583473855)	('>50', 0.01568130333774119)	('>100', 0.005247400552261731)	('>500', 0.0)	('>1k', 0.012479526959710826)	('>5k', 0.0)	('>10k+', 0.0)
KH1B_101_R1	(1.0, 68.20760062336264)	(2.0, 17.55788985346772)	(3.0, 5.6952472680862005)	(4.0, 2.3782195457599062)	(5.0, 1.056954320714063)	(6.0, 0.7044981960512792)	(7.0, 0.4908937345073117)	(8.0, 0.42211918194700854)	(9.0, 0.3865192467558785)	('>10', 2.7980629807307036)	('>50', 0.1821253706096011)	('>100', 0.07458813218009316)	('>500', 0.0)	('>1k', 0.0200955414041939)	('>5k', 0.025186004423374885)	('>10k+', 0.0)
KH1B_101_R2	(1.0, 68.48982891902936)	(2.0, 17.519485778902727)	(3.0, 5.662709828305324)	(4.0, 2.2409443432106007)	(5.0, 1.0449796822653852)	(6.0, 0.7015373419533222)	(7.0, 0.537405049618499)	(8.0, 0.41709519499516523)	(9.0, 0.38249563543057546)	('>10', 2.7210733120888877)	('>50', 0.16840335096997625)	('>100', 0.07219005716897098)	('>500', 0.0)	('>1k', 0.04185150606134234)	('>5k', 0.0)	('>10k+', 0.0)
KH2A_104_R1	(1.0, 45.488389932449145)	(2.0, 17.155949969390623)	(3.0, 9.939661936543118)	(4.0, 6.539559850182084)	(5.0, 4.5432370225413665)	(6.0, 3.214945698741141)	(7.0, 2.312422545794128)	(8.0, 1.6489553351157336)	(9.0, 1.2580773246182977)	('>10', 6.3026555464230665)	('>50', 0.9218160665776662)	('>100', 0.654984886480559)	('>500', 0.014774064070552359)	('>1k', 0.004569821072503315)	('>5k', 0.0)	('>10k+', 0.0)
KH2A_104_R2	(1.0, 45.49424381253792)	(2.0, 17.238372547238757)	(3.0, 9.880945114894095)	(4.0, 6.509324166145861)	(5.0, 4.560738911986411)	(6.0, 3.259387709377701)	(7.0, 2.346808146578959)	(8.0, 1.643106753053996)	(9.0, 1.2652709701764933)	('>10', 6.230451113945891)	('>50', 0.9217506120914903)	('>100', 0.6328716351805065)	('>500', 0.0122251797545525)	('>1k', 0.004503327037426671)	('>5k', 0.0)	('>10k+', 0.0)
KH2B_103_R1	(1.0, 52.02476722590122)	(2.0, 20.235177133676395)	(3.0, 10.63897391319876)	(4.0, 5.971549899873377)	(5.0, 3.0993417230218685)	(6.0, 1.7399113174221337)	(7.0, 0.9523064490424986)	(8.0, 0.6355561491088355)	(9.0, 0.4610395772322678)	('>10', 3.4272314753065642)	('>50', 0.4867754253545711)	('>100', 0.27903888332040017)	('>500', 0.028584120496021916)	('>1k', 0.01974670704509118)	('>5k', 0.0)	('>10k+', 0.0)
KH2B_103_R2	(1.0, 52.237262872784264)	(2.0, 20.235023614623373)	(3.0, 10.809346587452)	(4.0, 5.858284179913833)	(5.0, 3.166944544737946)	(6.0, 1.689948592592119)	(7.0, 0.9182444745018645)	(8.0, 0.5852770167472934)	(9.0, 0.404601161555159)	('>10', 3.318490980283146)	('>50', 0.502869926311954)	('>100', 0.2334878434982305)	('>500', 0.018015415251409355)	('>1k', 0.022202789747382597)	('>5k', 0.0)	('>10k+', 0.0)
KH3A_106_R1	(1.0, 75.6034375943452)	(2.0, 15.25522347902367)	(3.0, 3.797675990836332)	(4.0, 1.2629933379220633)	(5.0, 0.6338938768312417)	(6.0, 0.4527695705136157)	(7.0, 0.3264281399228171)	(8.0, 0.3008118838379095)	(9.0, 0.28218641538906536)	('>10', 1.8529791322898355)	('>50', 0.07949897642840117)	('>100', 0.06794701938336739)	('>500', 0.007999109099122942)	('>1k', 0.0)	('>5k', 0.07615547417738948)	('>10k+', 0.0)
KH3A_106_R2	(1.0, 75.90398509572202)	(2.0, 15.04198554311737)	(3.0, 3.7237122784530388)	(4.0, 1.2660623903754618)	(5.0, 0.5695242387941257)	(6.0, 0.4366552955989576)	(7.0, 0.36080570804899936)	(8.0, 0.29880017125832425)	(9.0, 0.28321481411493943)	('>10', 1.9046695593556435)	('>50', 0.06639029925106933)	('>100', 0.06326940121765577)	('>500', 0.011002277067425154)	('>1k', 0.0)	('>5k', 0.06992292762491867)	('>10k+', 0.0)
KH3B_105_R1	(1.0, 76.16300668774956)	(2.0, 14.979432686810275)	(3.0, 4.314560522608265)	(4.0, 1.8021534680692581)	(5.0, 0.9027456236709073)	(6.0, 0.5031258267539951)	(7.0, 0.3373845191758296)	(8.0, 0.19936413409672835)	(9.0, 0.15714990565792955)	('>10', 0.5758414372480736)	('>50', 0.044201956652997)	('>100', 0.021033231506187952)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KH3B_105_R2	(1.0, 76.18499051858345)	(2.0, 14.908181123228234)	(3.0, 4.440842162558688)	(4.0, 1.8413073399442481)	(5.0, 0.8564401977460973)	(6.0, 0.4839626938887968)	(7.0, 0.29596539489986073)	(8.0, 0.20239765601581355)	(9.0, 0.1388985524852798)	('>10', 0.578542719985784)	('>50', 0.037132334295351496)	('>100', 0.031339306368448304)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1A_090_R1	(1.0, 65.05283747822013)	(2.0, 16.467831209697433)	(3.0, 6.674931141532804)	(4.0, 3.602115473453919)	(5.0, 2.2117864996668435)	(6.0, 1.3370728540177415)	(7.0, 0.9855366173391852)	(8.0, 0.7004817378572391)	(9.0, 0.49638870725361806)	('>10', 2.2558720670306385)	('>50', 0.13817627016901857)	('>100', 0.07493591844767472)	('>500', 0.002034025313742931)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1A_090_R2	(1.0, 66.61215332245305)	(2.0, 15.95311077457135)	(3.0, 6.452503148706963)	(4.0, 3.335802487743953)	(5.0, 2.0392906492419294)	(6.0, 1.2949895388794506)	(7.0, 0.8889156212790215)	(8.0, 0.6087137639375013)	(9.0, 0.46713376376625776)	('>10', 2.1491584373120585)	('>50', 0.12098643595151105)	('>100', 0.07724205615693165)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1B_089_R1	(1.0, 72.48529104775898)	(2.0, 14.203556129795544)	(3.0, 5.060071438534308)	(4.0, 2.5076077680892586)	(5.0, 1.4417280758924385)	(6.0, 0.8614234410827291)	(7.0, 0.5765673229308731)	(8.0, 0.4139506199974436)	(9.0, 0.29833004269469604)	('>10', 1.7974955377034303)	('>50', 0.21635661014082633)	('>100', 0.13546228423848883)	('>500', 0.002159681140860287)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1B_089_R2	(1.0, 73.91710535477745)	(2.0, 13.89780582429635)	(3.0, 4.764407674751832)	(4.0, 2.3033521261235683)	(5.0, 1.2962550443329253)	(6.0, 0.8092239045856147)	(7.0, 0.4950005266231521)	(8.0, 0.3554495389118489)	(9.0, 0.31152775096637614)	('>10', 1.525947248847925)	('>50', 0.1898026135170951)	('>100', 0.13412239226585698)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH2A_092_R1	(1.0, 46.325824145073796)	(2.0, 19.721741678379885)	(3.0, 11.878773849145768)	(4.0, 7.24258934806065)	(5.0, 4.499234020235092)	(6.0, 2.725998658437089)	(7.0, 1.7796080856300716)	(8.0, 1.2575508597224787)	(9.0, 0.8621817898618748)	('>10', 3.566805019672921)	('>50', 0.12472541267253244)	('>100', 0.014967133107840485)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
