Sample	Bacteroidaceae	Lachnospiraceae	Prevotellaceae	Tannerellaceae	Oscillospiraceae	Other	Unclassified
KH1A_102.breport2	11932903.0	1182506.0	10344.0	252458.0	268783.0	4464311.0	0.0
KH1A_102.kreport2	11355995.0	1012930.0	10129.0	209483.0	233214.0	5294422.0	9781891.0
KH1B_101.breport2	8597262.0	2435729.0	8767.0	151531.0	342773.0	915652.0	0.0
KH1B_101.kreport2	8078633.0	2152240.0	8362.0	114396.0	298163.0	1805048.0	10458615.0
KH2A_104.breport2	15318366.0	1829213.0	3412.0	38010.0	490371.0	590917.0	0.0
KH2A_104.kreport2	14151669.0	1587004.0	3313.0	34913.0	392578.0	2104694.0	9694446.0
KH2B_103.breport2	16821923.0	2775939.0	3149.0	35357.0	656862.0	748913.0	0.0
KH2B_103.kreport2	15585254.0	2413685.0	3097.0	32568.0	514063.0	2497289.0	10136618.0
KH3A_106.breport2	6326322.0	1697695.0	27381.0	1142875.0	464612.0	1746644.0	0.0
KH3A_106.kreport2	6005071.0	1478636.0	26641.0	1049631.0	384650.0	2466492.0	11362074.0
KH3B_105.breport2	7434107.0	2323343.0	49167.0	378605.0	336122.0	746424.0	0.0
KH3B_105.kreport2	6879175.0	2032523.0	48157.0	341291.0	272209.0	1699418.0	15742550.0
WH1A_090.breport2	4420014.0	1495443.0	30058.0	1075573.0	460086.0	1852109.0	0.0
WH1A_090.kreport2	3855376.0	1286107.0	21461.0	951665.0	391036.0	2834624.0	21526723.0
WH1B_089.breport2	2241869.0	3697426.0	85126.0	1413222.0	465511.0	2725638.0	0.0
WH1B_089.kreport2	1890377.0	3310402.0	59790.0	1194485.0	405781.0	3775275.0	19909958.0
WH2A_092.breport2	635099.0	971092.0	12911004.0	226712.0	158170.0	1067549.0	0.0
WH2A_092.kreport2	542118.0	859033.0	12420190.0	187370.0	114551.0	1852865.0	26636187.0
WH2B_091.breport2	1606691.0	1316153.0	10337713.0	489374.0	227908.0	968258.0	0.0
WH2B_091.kreport2	1410908.0	1183629.0	9974789.0	411270.0	194956.0	1777286.0	20011926.0
WH3A_094.breport2	11576423.0	998117.0	8919.0	704720.0	829102.0	4551585.0	0.0
WH3A_094.kreport2	10335606.0	779058.0	8666.0	632585.0	692441.0	6227295.0	18585880.0
WH3B_093.breport2	13181307.0	2803606.0	13587.0	431254.0	1071771.0	2297417.0	0.0
WH3B_093.kreport2	11715166.0	2377891.0	13319.0	390605.0	923478.0	4384704.0	18567208.0
