Sample	Phocaeicola dorei	Segatella copri	Bacteroides uniformis	Phocaeicola vulgatus	Bacteroides ovatus	Other	Unclassified
KH1A_102.breport2	4023844.0	3153.0	1200818.0	1154159.0	2926086.0	8803245.0	0.0
KH1A_102.kreport2	2627462.0	1118.0	658765.0	776233.0	741752.0	13310843.0	9781891.0
KH1B_101.breport2	1369965.0	1118.0	1235049.0	1416498.0	1707975.0	6721109.0	0.0
KH1B_101.kreport2	865572.0	613.0	639735.0	909853.0	424879.0	9616190.0	10458615.0
KH2A_104.breport2	8017800.0	1393.0	3994423.0	239291.0	93025.0	5924357.0	0.0
KH2A_104.kreport2	5027937.0	1292.0	2186327.0	142477.0	19843.0	10896295.0	9694446.0
KH2B_103.breport2	9093697.0	1910.0	3351987.0	267191.0	107873.0	8219485.0	0.0
KH2B_103.kreport2	5825951.0	1772.0	1824036.0	172189.0	23888.0	13198120.0	10136618.0
KH3A_106.breport2	930345.0	1347.0	815049.0	604728.0	761093.0	8292967.0	0.0
KH3A_106.kreport2	601264.0	1231.0	418922.0	402044.0	173192.0	9814468.0	11362074.0
KH3B_105.breport2	103407.0	26307.0	1062132.0	3276716.0	38934.0	6760272.0	0.0
KH3B_105.kreport2	62063.0	22719.0	627228.0	2171958.0	10881.0	8377924.0	15742550.0
WH1A_090.breport2	101507.0	9877.0	1252456.0	19513.0	897286.0	7052644.0	0.0
WH1A_090.kreport2	59776.0	9111.0	643962.0	11887.0	233318.0	8382215.0	21526723.0
WH1B_089.breport2	468639.0	36550.0	645345.0	35838.0	69543.0	9372877.0	0.0
WH1B_089.kreport2	271810.0	34203.0	325421.0	21274.0	20568.0	9962834.0	19909958.0
WH2A_092.breport2	4963.0	11774780.0	136096.0	123490.0	48923.0	3881374.0	0.0
WH2A_092.kreport2	2868.0	10768298.0	66049.0	75439.0	11522.0	5051951.0	26636187.0
WH2B_091.breport2	8984.0	9442676.0	419883.0	168935.0	87405.0	4818214.0	0.0
WH2B_091.kreport2	5579.0	8627884.0	204355.0	104667.0	18187.0	5992166.0	20011926.0
WH3A_094.breport2	163339.0	998.0	2568146.0	4164039.0	591360.0	11180984.0	0.0
WH3A_094.kreport2	101162.0	947.0	1166565.0	2609413.0	127796.0	14669768.0	18585880.0
WH3B_093.breport2	204905.0	1066.0	4100273.0	4467870.0	1060770.0	9964058.0	0.0
WH3B_093.kreport2	123243.0	1017.0	1887923.0	2776028.0	222640.0	14794312.0	18567208.0
