Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Bacteroides intestinalis	1012794	1529193	58	228	306329	4582	4606	1932	175	619	8221	14009
Bacteroides ovatus	2926086	1707975	93025	107873	761093	38934	897286	69543	48923	87405	591360	1060770
Bacteroides uniformis	1200818	1235049	3994423	3351987	815049	1062132	1252456	645345	136096	419883	2568146	4100273
Bacteroides thetaiotaomicron	339348	143395	57630	43717	793166	741229	386764	19834	42027	456657	680769	330622
Bacteroides fragilis	425639	242474	38618	38552	12765	125704	32698	17274	3520	6566	51287	86078
Bacteroides sp. D2	67908	43378	247	502	7939	1427	12563	964	987	2566	5697	7883
Bacteroides sp. KFT8	17180	9232	5609	5419	4123	3142	6304	884	1146	3780	9717	7052
Bacteroides sp. CACC 737	33959	35690	2020	2636	111831	68791	13200	21356	2438	2592	21446	20754
Bacteroides sp. HF-162	52147	50329	77510	55472	243355	36866	48194	20229	3074	15753	106840	138048
Bacteroides sp. M10	10172	8247	482	1016	6017	1440	13333	815	1453	1614	6311	9296
Bacteroides sp. A1C1	20971	21020	14262	12248	57945	25148	18293	6456	1551	4433	45494	178184
Bacteroides sp. DH3716P	17166	10277	20758	10987	24126	4327	160210	40950	13299	14450	126806	168148
Bacteroides sp. CG01	243	275	69	92	219	1191	1355	277	41	235	810	484
Bacteroides sp. BFG-257	8757	12427	10590	16915	3690	2824	1959	803	0	0	0	0
Bacteroides sp. KG122	38278	19522	123078	57743	47716	25334	29252	13348	0	15271	87578	118070
Bacteroides maternus	100571	147996	280	387	11968	4190	10891	3880	226	879	1103	890
Bacteroides cellulosilyticus	102358	148951	13491	11768	14216	1152512	396143	342438	13670	90238	1290	2009
Bacteroides xylanisolvens	151924	102767	842526	1582943	153744	187374	135298	44684	184577	190598	281051	297379
Bacteroides faecis	25903	39336	11894	13751	6609	2246	417669	92918	7541	9862	14040	9108
Bacteroides salyersiae	13595	6549	560145	454159	5190	208424	2885	1886	2219	2384	351085	355112
Bacteroides stercoris	14617	129528	29948	27793	344926	20173	6586	6129	2031	8248	8625	6592
Bacteroides hominis	90693	64202	12924	17657	33413	25440	24443	9488	7005	12271	122008	55061
Bacteroides caecimuris	8057	9504	16138	9545	3620	2436	7660	1092	912	2292	6202	6532
Bacteroides humanifaecis	43762	39564	110254	74200	279804	37645	39995	21132	2194	2854	69313	108091
Bacteroides eggerthii	4753	5575	6353	5393	8215	176235	1207	1007	460	3004	1544	3405
Bacteroides luhongzhouii	5109	3783	5346	9289	3268	3402	3056	373	849	2444	4871	5371
Bacteroides caccae	3606	30077	995019	1527349	640613	36261	231455	240893	4368	5426	1922070	1125834
Bacteroides nordii	2472	1136	1325	1661	472	14689	13910	1210	1207	2137	1587	1345
Bacteroides pyogenes	1626	983	1579	1181	1183	1127	2665	3356	462	979	1709	1778
Bacteroides zhangwenhongii	3248	2686	5834	8731	27569	12066	9412	13399	7546	22665	15195	15698
Bacteroides faecium	1426	1059	2094	3054	1894	2074	37562	2929	403	722	5489	3315
Bacteroides difficilis	2282	1668	426	703	18769	6769	4497	7106	5145	14715	729	1060
Bacteroides helcogenes	809	965	255	143	177	1096	821	289	327	531	414	878
Bacteroides zoogleoformans	890	1044	269	199	373	322	4673	15250	220	309	201	396
Bacteroides finegoldii	1373	1347	924	1285	24617	9298	12461	37989	5777	18276	7205	4215
Bacteroides sedimenti	289	223	96	125	138	171	682	203	156	296	318	487
Bacteroides graminisolvens	269	245	86	95	113	100	998	300	50	129	253	385
Prevotella heparinolytica	279	288	27	24	388	186	292	121	110	369	146	452
uncultured Bacteroides sp.	50	64	57	6	80	189	789	455	77	90	152	320
Phocaeicola dorei	4023844	1369965	8017800	9093697	930345	103407	101507	468639	4963	8984	163339	204905
Phocaeicola vulgatus	1154159	1416498	239291	267191	604728	3276716	19513	35838	123490	168935	4164039	4467870
Phocaeicola coprophilus	2018	2029	649	609	3957	2221	29466	14380	3000	2397	8148	19611
Phocaeicola salanitronis	1433	726	3910	3577	2377	3438	7929	4966	1297	2600	3013	5675
Butyricimonas paravirosa	162800	73093	14	29	96251	2130	47037	13651	1142	1835	180316	85852
Butyricimonas virosa	8435	8253	0	0	177	20148	51156	30547	2521	5662	1075	579
Butyricimonas faecihominis	2284	1132	5827	5107	4652	960	7076	2646	1762	1209	3053	1504
Butyricimonas faecalis	1584	996	376	190	1981	75929	2860	2775	68243	147802	3341	2885
Odoribacter splanchnicus	155076	67908	70	127	185120	66422	299719	275218	105258	290062	48870	131318
Alistipes onderdonkii	122717	57645	2056	1442	1049	3449	16808	10986	3993	12077	1542053	280810
Alistipes shahii	47608	48392	72107	44155	5097	21147	281185	103057	27103	35951	365812	76351
uncultured Alistipes sp.	22307	19277	351	403	3041	289	3251	5870	2190	1892	8237	1223
Alistipes dispar	10324	2832	656	957	2837	134	633	1835	115	1056	7520	1554
Alistipes communis	7952	11304	2580	2426	23106	4453	22837	33650	1471	14719	92709	67479
Alistipes finegoldii	10168	4326	65789	63724	1706	3325	29670	10707	6900	11525	75691	14793
Alistipes megaguti	5276	3529	149	87	821	316	1458	2096	2647	2073	3523	768
Alistipes ihumii	4098	5992	1532	854	8250	92	334	519	1235	6815	60967	22389
Alistipes indistinctus	2598	5371	0	0	68	1760	233	70	4541	3091	32027	1960
