Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
KH1A_102_asm_final	132889.0	29943.0	4578.0	1953.0	524.0	141.0	166798231.0	114469707.0	65135376.0	47053069.0	25555278.0	12400048.0	72720.0	262053.0	143622864.0	42.06	3939.0	687.0	16942.3	6083.0	47982.0	0.0
KH1B_101_asm_final	134019.0	40017.0	5254.0	2058.0	449.0	126.0	187250450.0	135519955.0	68030337.0	46053760.0	21946614.0	11111838.0	90488.0	257702.0	170389675.0	40.79	3146.0	696.0	13405.9	9624.0	61573.0	0.0
KH2A_104_asm_final	79390.0	20529.0	3391.0	1712.0	615.0	226.0	125095161.0	93743603.0	61054644.0	49471773.0	32693943.0	19304371.0	48910.0	347390.0	113158631.0	39.54	6486.0	734.0	26808.5	2606.0	30040.0	0.0
KH2B_103_asm_final	87563.0	25141.0	4414.0	2103.0	754.0	312.0	154697276.0	120907168.0	80256679.0	64325044.0	43848503.0	28556161.0	56193.0	349599.0	142150782.0	41.93	7365.0	784.0	31496.2	2893.0	33111.0	0.0
KH3A_106_asm_final	154946.0	45165.0	7290.0	3072.0	679.0	164.0	228499944.0	169629333.0	95023576.0	65940857.0	29961300.0	12750685.0	98148.0	341393.0	205994031.0	42.17	4159.0	732.0	13565.5	9040.0	63696.0	0.0
KH3B_105_asm_final	178281.0	53151.0	7821.0	3248.0	887.0	269.0	266421984.0	198360649.0	109718723.0	78384647.0	43019598.0	21789223.0	116032.0	285644.0	241655884.0	40.4	3966.0	730.0	16259.6	10322.0	75652.0	0.0
WH1A_090_asm_final	144911.0	36890.0	6030.0	2950.0	935.0	338.0	223564708.0	166406962.0	108040249.0	86487919.0	55947841.0	35370318.0	87164.0	1108786.0	201090385.0	43.71	6443.0	743.0	36747.3	4709.0	53879.0	0.0
WH1B_089_asm_final	185176.0	44064.0	6136.0	2878.0	1010.0	427.0	258387526.0	183715224.0	112918518.0	90265215.0	61526915.0	41343678.0	110125.0	482761.0	229062226.0	43.6	4792.0	701.0	30854.6	6466.0	71117.0	0.0
WH2A_092_asm_final	129828.0	38444.0	4971.0	2010.0	459.0	140.0	180950338.0	131445371.0	66499786.0	46120716.0	23025803.0	12334302.0	83954.0	301002.0	162895257.0	42.94	3287.0	713.0	15288.2	8703.0	56472.0	0.0
WH2B_091_asm_final	131712.0	35807.0	6040.0	2621.0	675.0	164.0	193247224.0	143914444.0	84481049.0	60810266.0	31573707.0	14320826.0	77023.0	403387.0	172284285.0	43.62	4759.0	754.0	17867.1	6381.0	48703.0	0.0
WH3A_094_asm_final	124074.0	33701.0	5879.0	2915.0	1086.0	397.0	209092489.0	161627135.0	107386029.0	86844912.0	59116861.0	35348646.0	74647.0	357668.0	189708909.0	45.29	7604.0	789.0	28796.8	3837.0	44002.0	0.0
WH3B_093_asm_final	136265.0	35279.0	6774.0	3373.0	1168.0	418.0	228288138.0	175670425.0	120265735.0	96514924.0	62630680.0	36769218.0	79910.0	370244.0	206257734.0	44.41	8342.0	788.0	28271.5	4100.0	46541.0	0.0
