Sample	Unique Reads	Duplicate Reads
KH1A_102_R1	22458141.0	5448302.0
KH1A_102_R2	22494719.0	5411724.0
KH1B_101_R1	18373939.0	4548902.0
KH1B_101_R2	18423415.0	4499426.0
KH2A_104_R1	17221631.0	10753804.0
KH2A_104_R2	17231042.0	10744393.0
KH2B_103_R1	21386695.0	9803259.0
KH2B_103_R2	21455212.0	9734742.0
KH3A_106_R1	19420650.0	3358193.0
KH3A_106_R2	19456941.0	3321902.0
KH3B_105_R1	23223682.0	3800776.0
KH3B_105_R2	23228909.0	3795549.0
WH1A_090_R1	23933668.0	6940399.0
WH1A_090_R2	24267968.0	6606099.0
WH1B_089_R1	25245390.0	5310599.0
WH1B_089_R2	25567285.0	4988704.0
WH2A_092_R1	27310436.0	15314066.0
WH2A_092_R2	28886517.0	13737985.0
WH2B_091_R1	26225647.0	8747940.0
WH2B_091_R2	26686079.0	8287508.0
WH3A_094_R1	23735439.0	13530921.0
WH3A_094_R2	24844833.0	12421527.0
WH3B_093_R1	27729418.0	10652072.0
WH3B_093_R2	28769645.0	9611845.0
