Sample	Bacteroidia	Clostridia	Mammalia	Erysipelotrichia	Negativicutes	Other	Unclassified
KH1A_102.breport2	12908514.0	1510920.0	3487907.0	34801.0	2289.0	166874.0	0.0
KH1A_102.kreport2	12759719.0	1450245.0	3469460.0	31920.0	2300.0	402529.0	9781891.0
KH1B_101.breport2	9207131.0	2841932.0	71924.0	71990.0	1840.0	256897.0	0.0
KH1B_101.kreport2	9075240.0	2745529.0	71582.0	66218.0	1872.0	496401.0	10458615.0
KH2A_104.breport2	15545069.0	2439024.0	28371.0	168968.0	2578.0	86279.0	0.0
KH2A_104.kreport2	15244830.0	2292483.0	28280.0	148204.0	2516.0	557858.0	9694446.0
KH2B_103.breport2	17007475.0	3568819.0	28448.0	249331.0	10705.0	177365.0	0.0
KH2B_103.kreport2	16726420.0	3386956.0	28411.0	226255.0	10469.0	667445.0	10136618.0
KH3A_106.breport2	8561246.0	2303773.0	119385.0	55139.0	66860.0	299126.0	0.0
KH3A_106.kreport2	8527621.0	2211186.0	119016.0	49433.0	65719.0	438146.0	11362074.0
KH3B_105.breport2	8111666.0	2748803.0	34270.0	74649.0	223746.0	74634.0	0.0
KH3B_105.kreport2	8023952.0	2647099.0	34191.0	68559.0	221636.0	277336.0	15742550.0
WH1A_090.breport2	6780657.0	2004664.0	38086.0	145529.0	89895.0	274452.0	0.0
WH1A_090.kreport2	6561729.0	1893984.0	37845.0	135596.0	88258.0	622857.0	21526723.0
WH1B_089.breport2	4749784.0	4359799.0	860985.0	38741.0	121275.0	498208.0	0.0
WH1B_089.kreport2	4580795.0	4172579.0	851572.0	35988.0	119443.0	875733.0	19909958.0
WH2A_092.breport2	14022905.0	1154937.0	267738.0	282039.0	47979.0	194028.0	0.0
WH2A_092.kreport2	13896648.0	1113510.0	266717.0	270867.0	46795.0	381590.0	26636187.0
WH2B_091.breport2	13026359.0	1574561.0	29594.0	154725.0	62613.0	98245.0	0.0
WH2B_091.kreport2	12885091.0	1521413.0	29468.0	148395.0	61104.0	307367.0	20011926.0
WH3A_094.breport2	15514760.0	1969561.0	80940.0	112684.0	137216.0	853705.0	0.0
WH3A_094.kreport2	15336889.0	1849458.0	80726.0	95506.0	135195.0	1177877.0	18585880.0
WH3B_093.breport2	14763877.0	3986281.0	159176.0	56437.0	297370.0	535801.0	0.0
WH3B_093.kreport2	14615481.0	3788326.0	158508.0	50487.0	293138.0	899223.0	18567208.0
