Sample	Bacteroides	Phocaeicola	Segatella	Parabacteroides	Homo	Other	Unclassified
KH1A_102.breport2	6751447.0	5181456.0	3255.0	252452.0	3487907.0	2434788.0	0.0
KH1A_102.kreport2	6375612.0	4734019.0	1580.0	209460.0	3469460.0	3326042.0	9781891.0
KH1B_101.breport2	5808043.0	2789219.0	1276.0	151521.0	71924.0	3629731.0	0.0
KH1B_101.kreport2	5397584.0	2457575.0	907.0	114378.0	71582.0	4414816.0	10458615.0
KH2A_104.breport2	7056713.0	8261652.0	1523.0	38003.0	28371.0	2884027.0	0.0
KH2A_104.kreport2	6213702.0	7129871.0	1466.0	34903.0	28280.0	4865949.0	9694446.0
KH2B_103.breport2	7456847.0	9365076.0	2077.0	35357.0	28448.0	4154338.0	0.0
KH2B_103.kreport2	6679079.0	8188921.0	1998.0	32551.0	28411.0	6114996.0	10136618.0
KH3A_106.breport2	4784296.0	1542026.0	1762.0	1142868.0	119385.0	3815192.0	0.0
KH3A_106.kreport2	4426597.0	1352153.0	1707.0	1049557.0	119016.0	4462091.0	11362074.0
KH3B_105.breport2	4048145.0	3385961.0	35226.0	378595.0	34270.0	3385571.0	0.0
KH3B_105.kreport2	3712633.0	2946021.0	32115.0	341272.0	34191.0	4206541.0	15742550.0
WH1A_090.breport2	4261597.0	158417.0	10547.0	1075142.0	38086.0	3789494.0	0.0
WH1A_090.kreport2	3620708.0	130296.0	10120.0	951261.0	37845.0	4590039.0	21526723.0
WH1B_089.breport2	1718044.0	523825.0	37805.0	1412898.0	860985.0	6075235.0	0.0
WH1B_089.kreport2	1381150.0	418282.0	36135.0	1194149.0	851572.0	6754822.0	19909958.0
WH2A_092.breport2	502347.0	132752.0	12867074.0	226653.0	267738.0	1973062.0	0.0
WH2A_092.kreport2	415061.0	101997.0	12309963.0	187307.0	266717.0	2695082.0	26636187.0
WH2B_091.breport2	1423772.0	182918.0	10239634.0	489313.0	29594.0	2580866.0	0.0
WH2B_091.kreport2	1231717.0	145491.0	9819511.0	411184.0	29468.0	3315467.0	20011926.0
WH3A_094.breport2	7130028.0	4446394.0	1187.0	704667.0	80940.0	6305650.0	0.0
WH3A_094.kreport2	6210015.0	3649952.0	1147.0	632508.0	80726.0	8101303.0	18585880.0
WH3B_093.breport2	8245403.0	4935903.0	1430.0	431175.0	159176.0	6025855.0	0.0
WH3B_093.kreport2	7175923.0	3956115.0	1376.0	390503.0	158508.0	8122738.0	18567208.0
