Sample	Bacteroidota	Bacillota	Chordata	Uroviricota	Methanobacteriota	Other	Unclassified
KH1A_102.breport2	12909730.0	1568196.0	3487907.0	94447.0	28.0	50997.0	0.0
KH1A_102.kreport2	12860179.0	1554333.0	3469460.0	94507.0	92.0	137602.0	9781891.0
KH1B_101.breport2	9208485.0	2948736.0	71924.0	118671.0	74705.0	29193.0	0.0
KH1B_101.kreport2	9140002.0	2918191.0	71582.0	118617.0	74658.0	133792.0	10458615.0
KH2A_104.breport2	15546102.0	2626568.0	28371.0	52114.0	20.0	17114.0	0.0
KH2A_104.kreport2	15300632.0	2537256.0	28280.0	52124.0	178.0	355701.0	9694446.0
KH2B_103.breport2	17008400.0	3858198.0	28448.0	109368.0	44.0	37685.0	0.0
KH2B_103.kreport2	16791175.0	3759748.0	28411.0	109509.0	190.0	356923.0	10136618.0
KH3A_106.breport2	8562489.0	2441983.0	119385.0	96072.0	21.0	185579.0	0.0
KH3A_106.kreport2	8546934.0	2414953.0	119016.0	96074.0	129.0	234015.0	11362074.0
KH3B_105.breport2	8114723.0	3061605.0	34270.0	27078.0	13609.0	16483.0	0.0
KH3B_105.kreport2	8078053.0	3030425.0	34191.0	27032.0	13690.0	89382.0	15742550.0
WH1A_090.breport2	6789263.0	2257665.0	38086.0	1954.0	188223.0	58092.0	0.0
WH1A_090.kreport2	6745269.0	2204631.0	37845.0	1735.0	187925.0	162864.0	21526723.0
WH1B_089.breport2	4755659.0	4535480.0	860985.0	60964.0	251637.0	164067.0	0.0
WH1B_089.kreport2	4726972.0	4453650.0	851572.0	60914.0	250755.0	292247.0	19909958.0
WH2A_092.breport2	14027292.0	1530611.0	267738.0	13390.0	479.0	130116.0	0.0
WH2A_092.kreport2	13986192.0	1513959.0	266717.0	13423.0	545.0	195291.0	26636187.0
WH2B_091.breport2	13031388.0	1808223.0	29594.0	1541.0	341.0	75010.0	0.0
WH2B_091.kreport2	12986315.0	1785874.0	29468.0	1556.0	474.0	149151.0	20011926.0
WH3A_094.breport2	15517218.0	2388263.0	80940.0	348976.0	64.0	333405.0	0.0
WH3A_094.kreport2	15470409.0	2349397.0	80726.0	348738.0	181.0	426200.0	18585880.0
WH3B_093.breport2	14768173.0	4445833.0	159176.0	137796.0	126.0	287838.0	0.0
WH3B_093.kreport2	14717686.0	4377328.0	158508.0	137804.0	242.0	413595.0	18567208.0
