Sample	Reads passing filters
KH1A_102_R1	27906443.0
KH1A_102_R2	27906443.0
KH1B_101_R1	22922841.0
KH1B_101_R2	22922841.0
KH2A_104_R1	27975435.0
KH2A_104_R2	27975435.0
KH2B_103_R1	31189954.0
KH2B_103_R2	31189954.0
KH3A_106_R1	22778843.0
KH3A_106_R2	22778843.0
KH3B_105_R1	27024458.0
KH3B_105_R2	27024458.0
WH1A_090_R1	30874067.0
WH1A_090_R2	30874067.0
WH1B_089_R1	30555989.0
WH1B_089_R2	30555989.0
WH2A_092_R1	42624502.0
WH2A_092_R2	42624502.0
WH2B_091_R1	34973587.0
WH2B_091_R2	34973587.0
WH3A_094_R1	37266360.0
WH3A_094_R2	37266360.0
WH3B_093_R1	38381490.0
WH3B_093_R2	38381490.0
