Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
KH1A_102_R1	(1, 32.97535146274285)	(2, 33.204580963614745)	(3, 33.24003238248601)	(4, 36.591787566763706)	(5, 36.586776680926334)	(6, 36.59300388086006)	(7, 36.609847876348844)	(8, 36.609543287189986)	(9, 38.481170853626885)	(10, 38.4742670715863)	(12, 38.44348117028028)	(14, 40.0453612092376)	(16, 39.99778454387756)	(18, 39.92315009476485)	(20, 39.92210949277914)	(22, 39.849884791838214)	(24, 39.80571063822072)	(26, 39.778030327978385)	(28, 39.88588941629)	(30, 39.90258496935636)	(32, 39.89612744626751)	(34, 39.863785470616946)	(36, 39.8222501520527)	(38, 39.7693746207641)	(40, 39.70329396691653)	(42, 39.62189057917557)	(44, 39.53192676687602)	(46, 39.4184625034441)	(48, 39.31564169607714)	(50, 39.19492185012615)	(52, 39.039510517338236)	(54, 38.77317567846249)	(56, 38.57473446185886)	(58, 38.3632743879254)	(60, 38.11247381115537)	(62, 37.80759538218468)	(64, 37.47796449730265)	(66, 37.12122969236889)	(68, 36.72797554313891)	(70, 36.3381941582451)	(72, 35.951197237856505)	(74, 35.54339073238391)	(76, 34.025330978226066)	(78, 34.85100743580972)	(80, 34.78201317165359)	(82, 34.49276145655682)	(84, 34.19027290579455)	(86, 33.94261318076259)	(88, 33.67611196453808)	(90, 33.442511967576806)	(92, 33.38142707761071)	(94, 33.2526103559669)	(96, 33.088766436482075)	(98, 33.17701422929464)	(100, 33.47437836591604)
KH1A_102_R2	(1, 32.860692887302044)	(2, 33.04908063704142)	(3, 33.10204514419842)	(4, 36.49604999820292)	(5, 36.52185231919381)	(6, 36.55314770857755)	(7, 36.56276921426353)	(8, 36.55367378780592)	(9, 38.385680432293)	(10, 38.34977745103523)	(12, 38.332861769592064)	(14, 39.887999323310396)	(16, 39.860181625440404)	(18, 39.85075706352114)	(20, 39.80155220785393)	(22, 39.7336894028379)	(24, 39.646114304141165)	(26, 39.588867703418885)	(28, 39.59646809878278)	(30, 39.71270338896289)	(32, 39.761872249358326)	(34, 39.77054843571429)	(36, 39.72343729009104)	(38, 39.66787168110246)	(40, 39.57711909038353)	(42, 39.489946479384706)	(44, 39.43086942323678)	(46, 39.3450458017885)	(48, 39.23636201145377)	(50, 38.192842742444824)	(52, 38.33068788093129)	(54, 38.85176571947919)	(56, 38.745587192893055)	(58, 38.55033955778599)	(60, 38.32482258666932)	(62, 38.034329778252285)	(64, 37.728866466428556)	(66, 37.390741306586435)	(68, 37.01240509225772)	(70, 36.638200110275605)	(72, 36.252252786211415)	(74, 35.873244934870414)	(76, 35.50373689688793)	(78, 35.10807893001627)	(80, 34.75463141253796)	(82, 34.431959512002294)	(84, 34.12580872453003)	(86, 33.8434758417617)	(88, 33.56826950321114)	(90, 33.30699385442996)	(92, 33.13809857458365)	(94, 32.95522401403862)	(96, 32.83539564680457)	(98, 32.992356173805454)	(100, 33.42253590709546)
KH1B_101_R1	(1, 33.01914993870088)	(2, 33.25997571592457)	(3, 33.296898364386855)	(4, 36.62683748493479)	(5, 36.62090445071795)	(6, 36.62804012818481)	(7, 36.64154046176039)	(8, 36.64198643614899)	(9, 38.51617149026161)	(10, 38.50757113832444)	(12, 38.47854022544588)	(14, 40.09387527488413)	(16, 40.044698953327824)	(18, 39.96975126250712)	(20, 39.96814895239207)	(22, 39.8947223644748)	(24, 39.85292518933408)	(26, 39.829413378559835)	(28, 39.93325273250379)	(30, 39.948828594152005)	(32, 39.941883098172696)	(34, 39.9078258231604)	(36, 39.86542414179813)	(38, 39.81098379123251)	(40, 39.74258162415383)	(42, 39.659409930906904)	(44, 39.56859887044542)	(46, 39.45138822452243)	(48, 39.34494825488691)	(50, 39.22178274062975)	(52, 39.06139823593419)	(54, 38.78624215907618)	(56, 38.58381432737765)	(58, 38.36852155454902)	(60, 38.10954178847203)	(62, 37.79847977831369)	(64, 37.45775674140914)	(66, 37.09093076639148)	(68, 36.690980036026076)	(70, 36.290173565309814)	(72, 35.89522208438299)	(74, 35.481202918957564)	(76, 33.99272378585185)	(78, 34.810191873686165)	(80, 34.73955237485615)	(82, 34.4505161031305)	(84, 34.14914462391464)	(86, 33.90450727726114)	(88, 33.63940905056228)	(90, 33.403871950252594)	(92, 33.34321042492071)	(94, 33.21069713828229)	(96, 33.04108746817202)	(98, 33.1349212996766)	(100, 33.43943195737969)
KH1B_101_R2	(1, 32.79811856654243)	(2, 33.00743638190397)	(3, 33.065255305832295)	(4, 36.462500786878906)	(5, 36.482697541722686)	(6, 36.51283377134623)	(7, 36.519227655943695)	(8, 36.50997958760871)	(9, 38.32444948686771)	(10, 38.288512405595796)	(12, 38.27159755197883)	(14, 39.807051338008236)	(16, 39.77658657144636)	(18, 39.76679603108533)	(20, 39.715964853571165)	(22, 39.64534018710857)	(24, 39.55531371525895)	(26, 39.49797922081299)	(28, 39.50626176746591)	(30, 39.62069455090667)	(32, 39.668601309061124)	(34, 39.674932963152344)	(36, 39.624966120037215)	(38, 39.565797232550715)	(40, 39.47127395770882)	(42, 39.381274075059025)	(44, 39.316571034977734)	(46, 39.22493612375534)	(48, 39.111712745379165)	(50, 38.07007054666566)	(52, 38.213991494335275)	(54, 38.73196282694627)	(56, 38.625562228521325)	(58, 38.424252451953926)	(60, 38.19088997301861)	(62, 37.89350427811282)	(64, 37.57870374793421)	(66, 37.231648249883165)	(68, 36.84633649904041)	(70, 36.462462179099006)	(72, 36.068300085491146)	(74, 35.68403844444936)	(76, 35.30890832859679)	(78, 34.91148784742694)	(80, 34.556700803360286)	(82, 34.23275413374808)	(84, 33.92566940110085)	(86, 33.6405006691797)	(88, 33.363622118218245)	(90, 33.099599434468004)	(92, 32.92877082731586)	(94, 32.74174446788686)	(96, 32.623101996824914)	(98, 32.8129619709878)	(100, 33.281463486072276)
KH2A_104_R1	(1, 33.03264049334711)	(2, 33.248193924419766)	(3, 33.3117907549963)	(4, 36.621093434293336)	(5, 36.61278936323957)	(6, 36.61752326639425)	(7, 36.625575831081804)	(8, 36.637220297021294)	(9, 38.518913825647395)	(10, 38.50826192693697)	(12, 38.48905157328206)	(14, 40.106903824730516)	(16, 40.05772019273337)	(18, 40.02282683003857)	(20, 39.97184202855112)	(22, 39.86079017180609)	(24, 39.86075442615996)	(26, 39.857410653310666)	(28, 39.96301231777093)	(30, 39.997465329850996)	(32, 39.98348168670121)	(34, 39.950384417614956)	(36, 39.90782931525462)	(38, 39.861244910043396)	(40, 39.80956001220356)	(42, 39.73852940981972)	(44, 39.66324482532622)	(46, 39.574144155399196)	(48, 39.48268648905727)	(50, 39.375129001568695)	(52, 39.23114696876027)	(54, 39.05557291602436)	(56, 38.869517399818804)	(58, 38.643356323145646)	(60, 38.37685133403645)	(62, 38.0954653609497)	(64, 37.77133665660605)	(66, 37.43914285872587)	(68, 37.043775530210695)	(70, 36.65168189520556)	(72, 36.26691463421391)	(74, 35.84522111988608)	(76, 34.34291931474881)	(78, 35.1091136027018)	(80, 35.01991220154396)	(82, 34.71206285085469)	(84, 34.40236237613463)	(86, 34.12911064653686)	(88, 33.861618791629155)	(90, 33.61714182460433)	(92, 33.5128970112529)	(94, 33.36024764226186)	(96, 33.25581312676639)	(98, 33.33204346956535)	(100, 33.62391867716459)
KH2A_104_R2	(1, 32.925005562916176)	(2, 33.10379191601489)	(3, 33.16934853738646)	(4, 36.556215050811545)	(5, 36.55716602798133)	(6, 36.580036557072305)	(7, 36.58576790673675)	(8, 36.58751854975624)	(9, 38.42364849733347)	(10, 38.40055101913518)	(12, 38.36118394584392)	(14, 39.970357708468164)	(16, 39.931382943643236)	(18, 39.90458925839759)	(20, 39.83904629186284)	(22, 39.7606445976622)	(24, 39.674027088408096)	(26, 39.65899633017324)	(28, 39.686313957227114)	(30, 39.788119291085195)	(32, 39.82335557963621)	(34, 39.811497890917515)	(36, 39.787023383193144)	(38, 39.7171028261044)	(40, 39.66230408928405)	(42, 39.616960415450194)	(44, 39.51384559346441)	(46, 39.43276772997453)	(48, 39.35737076116958)	(50, 38.3880387918901)	(52, 38.51322910617833)	(54, 39.028312070929374)	(56, 38.967501684960396)	(58, 38.78023305088911)	(60, 38.54823024199624)	(62, 38.24813485473952)	(64, 37.934411314783844)	(66, 37.61195114571051)	(68, 37.2489155217783)	(70, 36.86071094158143)	(72, 36.45088678692575)	(74, 36.070934947034786)	(76, 35.68490579324325)	(78, 35.281672385076405)	(80, 34.91255331686531)	(82, 34.566842517372834)	(84, 34.22251067767132)	(86, 33.938805991756695)	(88, 33.65572753381672)	(90, 33.40706076598988)	(92, 33.23003536852957)	(94, 33.010295425254334)	(96, 32.88684712141205)	(98, 33.034524807210325)	(100, 33.474657190632364)
KH2B_103_R1	(1, 33.014244298019804)	(2, 33.25983667689923)	(3, 33.28461831011357)	(4, 36.62547216324846)	(5, 36.619967281772844)	(6, 36.61571241817157)	(7, 36.63018021764316)	(8, 36.63046284069544)	(9, 38.50385325993106)	(10, 38.49667386492459)	(12, 38.465687685849105)	(14, 40.07269895300263)	(16, 40.02353535051703)	(18, 39.94575463304627)	(20, 39.94235680822101)	(22, 39.86731841605153)	(24, 39.81942919826044)	(26, 39.79282016574952)	(28, 39.90490641634162)	(30, 39.92267776348756)	(32, 39.91499934562263)	(34, 39.88125846546616)	(36, 39.83717043955884)	(38, 39.781454086145814)	(40, 39.70965144738591)	(42, 39.62147654978908)	(44, 39.52555181710111)	(46, 39.40226872408981)	(48, 39.286617238999455)	(50, 39.150847224718575)	(52, 38.97701987633582)	(54, 38.68744487407709)	(56, 38.4652743796929)	(58, 38.229252213709586)	(60, 37.95057164880718)	(62, 37.61958196539822)	(64, 37.26112933670886)	(66, 36.87893758996887)	(68, 36.4663982672113)	(70, 36.05999574414248)	(72, 35.66476819747795)	(74, 35.25528885037791)	(76, 33.77207278022917)	(78, 34.596392816097136)	(80, 34.542939242552265)	(82, 34.27673131547421)	(84, 33.996215159535026)	(86, 33.7731265971088)	(88, 33.52679051722872)	(90, 33.308170396788654)	(92, 33.26012726726047)	(94, 33.13989231917431)	(96, 32.982992248080905)	(98, 33.09104016312432)	(100, 33.414007317169194)
KH2B_103_R2	(1, 32.861784053929675)	(2, 33.07947587867555)	(3, 33.12203881416433)	(4, 36.51605234813748)	(5, 36.53576276515188)	(6, 36.55452778160558)	(7, 36.56167059432021)	(8, 36.55184361605663)	(9, 38.3774807747392)	(10, 38.34233224582505)	(12, 38.32423669172452)	(14, 39.8739603463346)	(16, 39.845418079167416)	(18, 39.83159728289436)	(20, 39.777995296177735)	(22, 39.70753331345087)	(24, 39.61489875874777)	(26, 39.556851879294214)	(28, 39.56397532679914)	(30, 39.684350111577594)	(32, 39.73527933064601)	(34, 39.74388362355392)	(36, 39.693825887014775)	(38, 39.635260411092624)	(40, 39.53875369614204)	(42, 39.44355099080941)	(44, 39.37610175699522)	(46, 39.27980068518216)	(48, 39.157474070016264)	(50, 38.1012470233204)	(52, 38.23165824483101)	(54, 38.72871951013458)	(56, 38.600658949352734)	(58, 38.378326046906)	(60, 38.12301609999169)	(62, 37.804070006002576)	(64, 37.47003820525032)	(66, 37.10427498546487)	(68, 36.70397152557519)	(70, 36.31249140348203)	(72, 35.91546201062047)	(74, 35.53313355319472)	(76, 35.16728040060592)	(78, 34.78269902225569)	(80, 34.44934176562107)	(82, 34.150071830820906)	(84, 33.86506377983116)	(86, 33.603451370912566)	(88, 33.34737101568024)	(90, 33.10095750702293)	(92, 32.9457238218434)	(94, 32.7705053524606)	(96, 32.66217106315707)	(98, 32.85150442991997)	(100, 33.31415549217509)
KH3A_106_R1	(1, 33.0414058782529)	(2, 33.25164868997078)	(3, 33.32631617856973)	(4, 36.6402706230514)	(5, 36.6348548958347)	(6, 36.630817070032926)	(7, 36.64113853368233)	(8, 36.65334055816619)	(9, 38.53597278843355)	(10, 38.5258873332592)	(12, 38.50310882778375)	(14, 40.12011171945827)	(16, 40.068885632163145)	(18, 40.023341681577065)	(20, 39.95809023311676)	(22, 39.83986252067324)	(24, 39.82912569352183)	(26, 39.82094742476605)	(28, 39.94348813063069)	(30, 39.97968268186405)	(32, 39.95725382101277)	(34, 39.91418139630709)	(36, 39.85651209326127)	(38, 39.78848063090825)	(40, 39.71492689510174)	(42, 39.613321624807725)	(44, 39.500979702963846)	(46, 39.37174069815574)	(48, 39.232838164783)	(50, 39.07134490983585)	(52, 38.87353591663984)	(54, 38.63910667016758)	(56, 38.39358302790006)	(58, 38.11599739723391)	(60, 37.80242321789566)	(62, 37.48039643628958)	(64, 37.13500297183663)	(66, 36.79198958876006)	(68, 36.39436340116133)	(70, 36.0219745796571)	(72, 35.6627889748395)	(74, 35.27471213090147)	(76, 33.83918689373293)	(78, 34.65089238729114)	(80, 34.60450721750881)	(82, 34.333509520215756)	(84, 34.05351966296094)	(86, 33.795691115654996)	(88, 33.54067952441658)	(90, 33.29774655367702)	(92, 33.18193560138239)	(94, 33.02996291339292)	(96, 32.936216404845496)	(98, 33.065013420567496)	(100, 33.43167986300793)
KH3A_106_R2	(1, 32.9044516001098)	(2, 33.07814663808868)	(3, 33.15777030466385)	(4, 36.56026418901083)	(5, 36.56027687622238)	(6, 36.57558937475446)	(7, 36.58011115841134)	(8, 36.583558480121226)	(9, 38.4150716083341)	(10, 38.39197102767687)	(12, 38.35064520177781)	(14, 39.953342252721086)	(16, 39.90946140240749)	(18, 39.87366173514607)	(20, 39.79521923040603)	(22, 39.71142061517348)	(24, 39.613194445389524)	(26, 39.58679420197066)	(28, 39.60816877310231)	(30, 39.72114742614451)	(32, 39.755110411007266)	(34, 39.73413460903173)	(36, 39.69571566914088)	(38, 39.604973615209516)	(40, 39.52873710486524)	(42, 39.45665776352205)	(44, 39.317617734140406)	(46, 39.197106587020244)	(48, 39.07663850617874)	(50, 38.0556657991804)	(52, 38.15021155815508)	(54, 38.6050228494924)	(56, 38.48309229314236)	(58, 38.242766522426095)	(60, 37.963454223728576)	(62, 37.623033751099655)	(64, 37.281070179903345)	(66, 36.942925437433324)	(68, 36.57606468423353)	(70, 36.20406479819893)	(72, 35.81610308302314)	(74, 35.4687154215866)	(76, 35.122010696504645)	(78, 34.75349779617868)	(80, 34.41582021966612)	(82, 34.10184819307987)	(84, 33.77885751264891)	(86, 33.508180902778946)	(88, 33.235425938885484)	(90, 32.98640337000435)	(92, 32.80931496388996)	(94, 32.587940506899315)	(96, 32.47999244298756)	(98, 32.707446686383506)	(100, 33.22385852685458)
