Sample	0	1
KH1A_102_R1	(99, 10695675.0)	(100, 17210768.0)
KH1A_102_R2	(99, 10923936.0)	(100, 16982507.0)
KH1B_101_R1	(99, 8842982.0)	(100, 14079859.0)
KH1B_101_R2	(99, 9061281.0)	(100, 13861560.0)
KH2A_104_R1	(99, 11422446.0)	(100, 16552989.0)
KH2A_104_R2	(99, 11745861.0)	(100, 16229574.0)
KH2B_103_R1	(99, 11936060.0)	(100, 19253894.0)
KH2B_103_R2	(99, 12257027.0)	(100, 18932927.0)
KH3A_106_R1	(99, 9359088.0)	(100, 13419755.0)
KH3A_106_R2	(99, 9537489.0)	(100, 13241354.0)
KH3B_105_R1	(99, 11140896.0)	(100, 15883562.0)
KH3B_105_R2	(99, 11328096.0)	(100, 15696362.0)
WH1A_090_R1	(99, 10766540.0)	(100, 20107527.0)
WH1A_090_R2	(99, 11183387.0)	(100, 19690680.0)
WH1B_089_R1	(99, 10679646.0)	(100, 19876343.0)
WH1B_089_R2	(99, 11096803.0)	(100, 19459186.0)
WH2A_092_R1	(99, 15484205.0)	(100, 27140297.0)
WH2A_092_R2	(99, 16418777.0)	(100, 26205725.0)
WH2B_091_R1	(99, 11943140.0)	(100, 23030447.0)
WH2B_091_R2	(99, 12382355.0)	(100, 22591232.0)
WH3A_094_R1	(99, 13837977.0)	(100, 23428383.0)
WH3A_094_R2	(99, 14391814.0)	(100, 22874546.0)
WH3B_093_R1	(99, 14156302.0)	(100, 24225188.0)
WH3B_093_R2	(99, 14720256.0)	(100, 23661234.0)
