Sample	Pseudomonadati	Bacillati	Metazoa	Heunggongvirae	Methanobacteriati	Other	Unclassified
KH1A_102.breport2	12942613.0	1585502.0	3487907.0	94447.0	28.0	808.0	0.0
KH1A_102.kreport2	12925946.0	1581134.0	3469460.0	94508.0	94.0	45031.0	9781891.0
KH1B_101.breport2	9226623.0	2959084.0	71924.0	118671.0	74705.0	707.0	0.0
KH1B_101.kreport2	9209558.0	2942898.0	71582.0	118617.0	74659.0	39528.0	10458615.0
KH2A_104.breport2	15555218.0	2634253.0	28371.0	52114.0	25.0	308.0	0.0
KH2A_104.kreport2	15415808.0	2566585.0	28280.0	52124.0	185.0	211189.0	9694446.0
KH2B_103.breport2	17034986.0	3868893.0	28448.0	109368.0	44.0	404.0	0.0
KH2B_103.kreport2	16937364.0	3796173.0	28411.0	109510.0	194.0	174304.0	10136618.0
KH3A_106.breport2	8731000.0	2458245.0	119385.0	96072.0	21.0	806.0	0.0
KH3A_106.kreport2	8711132.0	2449008.0	119016.0	96075.0	129.0	35761.0	11362074.0
KH3B_105.breport2	8126133.0	3065238.0	34270.0	27078.0	13614.0	1435.0	0.0
KH3B_105.kreport2	8112080.0	3048006.0	34191.0	27032.0	13696.0	37768.0	15742550.0
WH1A_090.breport2	6837799.0	2264150.0	38086.0	1954.0	188223.0	3071.0	0.0
WH1A_090.kreport2	6807246.0	2231719.0	37845.0	1735.0	187929.0	73795.0	21526723.0
WH1B_089.breport2	4905110.0	4549194.0	860985.0	60964.0	251637.0	902.0	0.0
WH1B_089.kreport2	4886328.0	4497737.0	851572.0	60915.0	250759.0	88799.0	19909958.0
WH2A_092.breport2	14144034.0	1542945.0	267738.0	13390.0	479.0	1040.0	0.0
WH2A_092.kreport2	14114635.0	1533909.0	266717.0	13423.0	546.0	46897.0	26636187.0
WH2B_091.breport2	13082255.0	1831685.0	29594.0	1541.0	341.0	681.0	0.0
WH2B_091.kreport2	13050563.0	1818312.0	29468.0	1556.0	475.0	52464.0	20011926.0
WH3A_094.breport2	15687764.0	2550381.0	80940.0	348976.0	64.0	741.0	0.0
WH3A_094.kreport2	15649068.0	2531633.0	80726.0	348738.0	185.0	65301.0	18585880.0
WH3B_093.breport2	14873963.0	4627121.0	159176.0	137796.0	126.0	760.0	0.0
WH3B_093.kreport2	14828261.0	4586725.0	158508.0	137806.0	243.0	93620.0	18567208.0
