Sample	Bacteroidales	Lachnospirales	Eubacteriales	Primates	Erysipelotrichales	Other	Unclassified
KH1A_102.breport2	12908449.0	1182661.0	298841.0	3487907.0	34801.0	198646.0	0.0
KH1A_102.kreport2	12759299.0	1013262.0	261746.0	3469460.0	31920.0	580486.0	9781891.0
KH1B_101.breport2	9207062.0	2435884.0	377461.0	71924.0	71990.0	287393.0	0.0
KH1B_101.kreport2	9074823.0	2152604.0	333009.0	71582.0	66218.0	758606.0	10458615.0
KH2A_104.breport2	15545054.0	1829356.0	571943.0	28371.0	168968.0	126597.0	0.0
KH2A_104.kreport2	15244554.0	1587340.0	467858.0	28280.0	148204.0	797935.0	9694446.0
KH2B_103.breport2	17007407.0	2776207.0	763117.0	28448.0	249331.0	217633.0	0.0
KH2B_103.kreport2	16726012.0	2414263.0	615891.0	28411.0	226255.0	1035124.0	10136618.0
KH3A_106.breport2	8561201.0	1697834.0	595643.0	119385.0	55139.0	376327.0	0.0
KH3A_106.kreport2	8527184.0	1478923.0	507616.0	119016.0	49433.0	728949.0	11362074.0
KH3B_105.breport2	8111411.0	2323781.0	403392.0	34270.0	74649.0	320265.0	0.0
KH3B_105.kreport2	8023338.0	2033488.0	336469.0	34191.0	68559.0	776728.0	15742550.0
WH1A_090.breport2	6779798.0	1495666.0	497627.0	38086.0	145529.0	376577.0	0.0
WH1A_090.kreport2	6559618.0	1286494.0	431450.0	37845.0	135596.0	889266.0	21526723.0
WH1B_089.breport2	4748905.0	3697720.0	577091.0	860985.0	38741.0	705350.0	0.0
WH1B_089.kreport2	4579203.0	3311029.0	512189.0	851572.0	35988.0	1346129.0	19909958.0
WH2A_092.breport2	14022686.0	971220.0	179736.0	267738.0	282039.0	246207.0	0.0
WH2A_092.kreport2	13896242.0	859293.0	136961.0	266717.0	270867.0	546047.0	26636187.0
WH2B_091.breport2	13026023.0	1316368.0	255231.0	29594.0	154725.0	164156.0	0.0
WH2B_091.kreport2	12884465.0	1184000.0	222086.0	29468.0	148395.0	484424.0	20011926.0
WH3A_094.breport2	15514637.0	998284.0	948151.0	80940.0	112684.0	1014170.0	0.0
WH3A_094.kreport2	15335945.0	779407.0	802609.0	80726.0	95506.0	1581458.0	18585880.0
WH3B_093.breport2	14763687.0	2804167.0	1157113.0	159176.0	56437.0	858362.0	0.0
WH3B_093.kreport2	14614383.0	2378742.0	1019291.0	158508.0	50487.0	1583752.0	18567208.0
