Sample	Unclassified	Other
KH1A_102.breport2	0.0	18111305.0
KH1A_102.kreport2	9781891.0	18116173.0
KH1B_101.breport2	0.0	12451714.0
KH1B_101.kreport2	10458615.0	12456842.0
KH2A_104.breport2	0.0	18270289.0
KH2A_104.kreport2	9694446.0	18274171.0
KH2B_103.breport2	0.0	21042143.0
KH2B_103.kreport2	10136618.0	21045956.0
KH3A_106.breport2	0.0	11405529.0
KH3A_106.kreport2	11362074.0	11411121.0
KH3B_105.breport2	0.0	11267768.0
KH3B_105.kreport2	15742550.0	11272773.0
WH1A_090.breport2	0.0	9333283.0
WH1A_090.kreport2	21526723.0	9340269.0
WH1B_089.breport2	0.0	10628792.0
WH1B_089.kreport2	19909958.0	10636110.0
WH2A_092.breport2	0.0	15969626.0
WH2A_092.kreport2	26636187.0	15976127.0
WH2B_091.breport2	0.0	14946097.0
WH2B_091.kreport2	20011926.0	14952838.0
WH3A_094.breport2	0.0	18668866.0
WH3A_094.kreport2	18585880.0	18675651.0
WH3B_093.breport2	0.0	19798942.0
WH3B_093.kreport2	18567208.0	19805163.0
