Sample	megahit-megahit_contigs	megahit-megahit_avg_contig	megahit-megahit_n50	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified
KH1A_102.breport2											22.21730571043887	51.393646123236294	
KH1A_102.kreport2											9.418080050285926	17.22460024466214	35.06297426230007
KH1A_102_R1				0.07190409858743343	19.52345626273714	39.0	99.61673098216065	100	10.0	27.906443			
KH1A_102_R2				0.07569973682431892	19.39238193109385	39.0	99.60855147322071	100	10.0	27.906443			
KH1B_101.breport2											11.002220256584756	46.02261985779628	
KH1B_101.kreport2											3.7772408379200115	12.396226704097588	45.640001855516125
KH1B_101_R1				0.0739844783683185	19.844411482672925	39.0	99.61422835851803	100	0.0	22.922841			
KH1B_101_R2				0.08010593555652441	19.628571437702874	39.0	99.60470514976743	100	0.0	22.922841			
KH2A_104.breport2											43.88436329605952	67.57381889251998	
KH2A_104.kreport2											17.97706693899094	26.37912342966404	34.66187119656292
KH2A_104_R1				0.0628528325244837	38.44016772698049	37.0	99.5916972872808	100	0.0	27.975434999999997			
KH2A_104_R2				0.06684670752569333	38.40652810014428	37.0	99.58013660913583	100	10.0	27.975434999999997			
KH2B_103.breport2											43.21659158004962	60.93798526129206	
KH2B_103.kreport2											18.68335500462534	25.167377138269597	32.5073164261552
KH2B_103_R1				0.06515195812127618	31.430822387013123	40.0	99.61731075332781	100	0.0	31.189954			
KH2B_103_R2				0.07007886531164946	31.211147640120217	40.0	99.60702003600262	100	0.0	31.189954			
KH3A_106.breport2											8.156964924643127	27.289939817784862	
KH3A_106.kreport2											2.640226810511217	7.011106698028098	49.89231418779842
KH3A_106_R1				0.06442560092649303	14.742598897645195	40.0	99.58913242432901	100	10.0	22.778843			
KH3A_106_R2				0.07062152014108393	14.583280770710488	40.0	99.58130055156884	100	10.0	22.778843			
KH3B_105.breport2											0.9177239005985924	40.00345055027757	
KH3B_105.kreport2											0.22973258546640363	10.715581671927445	58.2726699214368
KH3B_105_R1				0.07760748315420155	14.064211298036241	39.0	99.58774766176624	100	0.0	27.024458			
KH3B_105_R2				0.08387247412646058	14.044866956215145	38.0	99.58082060332163	100	0.0	27.024458			
WH1A_090.breport2											1.0875808651682373	24.435549634571245	
WH1A_090.kreport2											0.19365670616689828	3.103813938202984	69.74026818032674
WH1A_090_R1				0.05596904124140407	22.479707388369633	42.0	99.65127561587529	100	10.0	30.874067			
WH1A_090_R2				0.05900033304896808	21.39692035015382	42.0	99.63777409046887	100	10.0	30.874067			
WH1B_089.breport2											4.40914640158543	11.816159352822032	
WH1B_089.kreport2											0.8898362957877262	2.204133114612329	65.18010108535081
WH1B_089_R1				0.0681973092479253	17.37989747351442	41.0	99.65048927069584	100	10.0	30.555989			
WH1B_089_R2				0.0702933987829669	16.326438382543174	41.0	99.63683705344965	100	10.0	30.555989			
WH2A_092.breport2											0.03107774721837569	75.69527301390778	
WH2A_092.kreport2											0.006730448855699318	25.636195208737078	62.508191880872744
WH2A_092_R1				0.06613295240194171	35.927847514107825	40.0	99.63672994936105	100	0.0	42.624502			
WH2A_092_R2				0.06958335220968524	32.23025482008552	40.0	99.61480425038162	100	0.0	42.624502			
WH2B_091.breport2											0.0601093382439576	67.76272762046172	
WH2B_091.kreport2											0.015956063653110884	25.627720524582976	57.234551904883446
WH2B_091_R1				0.05959318090609546	25.012993126570066	42.0	99.65850972049279	100	0.0	34.973586999999995			
WH2B_091_R2				0.060464714574698215	23.696478635961213	42.0	99.64595124314815	100	0.0	34.973586999999995			
WH3A_094.breport2											0.8749272719617784	40.10892788024725	
WH3A_094.kreport2											0.27149179672730034	10.750720360899825	49.8795393028805
WH3A_094_R1				0.0495776228223875	36.308675087854425	41.0	99.62867376905069	100	0.0	37.26636			
WH3A_094_R2				0.035838321331806915	33.33174275511659	41.0	99.6138121887944	100	0.0	37.26636			
WH3B_093.breport2											1.0349290381273908	49.67378559925071	
WH3B_093.kreport2											0.32117640059302044	13.058486795095355	48.38691880676333
WH3B_093_R1				0.057966036419455524	27.75314990487307	41.0	99.63116851378099	100	0.0	38.38149			
WH3B_093_R2				0.06300645732656551	25.042918423463192	41.0	99.61647512902704	100	0.0	38.38149			
log	129828	1393	2588										
