"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Bacteroides uniformis"	"S"	820	4100300	645345	1252456	419883	136096	4100273	2568146	1235049	1200818	3351987	3994423	1062132	418922	21.86	6.072	13.42	2.809	0.8523	20.71	13.76	9.919	6.63	15.93	21.86	9.427	5.712	1	4	1	4	9	2	2	5	4	2	2	3	6	2.435	-0.4836	0.02916	-0.6741	-0.9138	2.435	1.14	0.01446	-0.01446	1.803	2.345	-0.1316	-0.6749	2.043	-0.6036	0.6281	-1.151	-1.478	1.85	0.6851	0.04123	-0.5101	1.049	2.043	-0.04123	-0.6639	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides cellulosilyticus"	"S"	246787	1152500	342438	396143	90238	13670	2009	1290	148951	102358	11768	13491	1152512	8283	10.23	3.222	4.245	0.6038	0.0856	0.01015	0.00691	1.196	0.5652	0.05593	0.07384	10.23	0.1129	2	7	6	17	38	161	177	10	17	60	49	2	59	14.79	3.905	4.627	0.5146	-0.5146	-0.6714	-0.6811	1.304	0.6776	-0.5402	-0.5171	14.79	-0.5871	21.8	6.354	8.609	0.5835	-0.5586	-0.7249	-0.7321	1.889	0.4985	-0.624	-0.5846	21.8	-0.4985	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caccae"	"S"	47678	1922100	240893	231455	5426	4368	1125834	1922070	30077	3606	1527349	995019	36261	561890	10.3	2.267	2.48	0.03631	0.02735	5.687	10.3	0.2416	0.01991	7.259	5.446	0.3218	7.661	3	12	11	76	69	3	3	45	102	4	3	33	4	4.897	0.01371	-0.01371	-0.6703	-0.6734	2.584	4.897	-0.5987	-0.6756	3.751	2.204	-0.5807	0.9462	2.275	-0.03057	0.03057	-0.6709	-0.6734	0.9511	2.275	-0.6119	-0.6756	1.402	0.8819	-0.5889	1.518	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides sp. CACC 737"	"S"	2755405	68791	21356	13200	2592	2438	20754	21446	35690	33959	2636	2020	68791	17438	0.6105	0.2009	0.1414	0.01734	0.01527	0.1048	0.1149	0.2866	0.1875	0.01253	0.01106	0.6105	0.2378	22	51	62	106	104	71	69	41	36	115	110	22	45	2.14	0.09733	-0.2539	-0.7108	-0.7174	0.0714	0.1012	0.7147	0.6401	-0.7089	-0.7354	2.14	-0.0714	2.951	0.4452	0.08108	-0.678	-0.6907	-0.1429	-0.08108	0.9695	0.3632	-0.7075	-0.7165	2.951	0.6709	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. DH3716P"	"S"	2847299	168150	40950	160210	14450	13299	168148	126806	10277	17166	10987	20758	4327	1578	1.717	0.3853	1.717	0.09669	0.08328	0.8493	0.6793	0.08254	0.09478	0.05222	0.1136	0.0384	0.02152	16	38	16	47	39	21	23	70	48	64	40	94	134	12.08	1.994	11.45	-0.1077	-0.199	12.08	8.802	-0.4386	0.1077	-0.3823	0.3925	-0.9104	-1.128	21.69	3.873	21.69	0.01277	-0.1666	10.08	7.806	-0.1765	-0.01277	-0.5821	0.239	-0.7669	-0.9927	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. HF-162"	"S"	2785531	138050	20229	48194	15753	3074	138048	106840	50329	52147	55472	77510	36866	20373	0.6973	0.1903	0.5164	0.1054	0.01925	0.6973	0.5723	0.4042	0.2879	0.2636	0.4243	0.3272	0.2778	18	53	33	42	89	24	26	33	27	26	18	32	42	2.096	-0.6854	-0.0252	-0.7911	-1.09	2.096	1.359	0.0252	0.06813	0.1466	0.6669	-0.2927	-0.682	2.247	-0.6759	1.204	-1.165	-1.662	2.247	1.526	0.5572	-0.1133	-0.2534	0.673	0.1133	-0.1715	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. A1C1"	"S"	2528203	178180	6456	18293	4433	1551	178184	45494	21020	20971	12248	14262	25148	7212	0.9	0.06075	0.196	0.02966	0.009713	0.9	0.2437	0.1688	0.1158	0.05821	0.07806	0.2232	0.09834	19	96	52	84	122	19	51	48	43	57	47	48	68	12.18	-0.7387	0.1516	-0.8908	-1.108	12.18	2.197	0.3567	0.353	-0.3031	-0.1516	0.6672	-0.6818	7.688	-0.4491	0.8622	-0.7505	-0.9439	7.688	1.325	0.5985	0.08464	-0.4737	-0.2813	1.126	-0.08464	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. M10"	"S"	2763022	13333	815	13333	1614	1453	9296	6311	8247	10172	1016	482	1440	2729	0.1429	0.007668	0.1429	0.0108	0.009099	0.04695	0.03381	0.06623	0.05617	0.004829	0.002638	0.01278	0.03721	61	201	61	127	125	96	109	78	63	151	169	149	109	4.943	-0.6008	4.943	-0.2469	-0.3182	3.155	1.833	2.691	3.543	-0.5117	-0.7482	-0.324	0.2469	4.732	-0.6183	4.732	-0.4944	-0.5617	0.936	0.4161	1.699	1.301	-0.7307	-0.8173	-0.4161	0.5506	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. D2"	"S"	556259	67908	964	12563	2566	987	7883	5697	43378	67908	502	247	1427	2551	0.375	0.00907	0.1346	0.01717	0.006181	0.03982	0.03052	0.3484	0.375	0.002386	0.001352	0.01267	0.03478	22	186	65	107	153	104	115	36	22	186	214	150.5	112	20.18	-0.4924	3.09	0.002316	-0.4853	1.644	0.9693	12.61	20.18	-0.6351	-0.7139	-0.3494	-0.002316	14.08	-0.5925	4.441	-0.2677	-0.7084	0.6406	0.2677	13.02	14.08	-0.8605	-0.902	-0.4481	0.4385	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KFT8"	"S"	2025659	17180	884	6304	3780	1146	7052	9717	9232	17180	5419	5609	3142	1423	0.09486	0.008318	0.06755	0.02529	0.007176	0.03562	0.05205	0.07414	0.09486	0.02575	0.0307	0.02789	0.0194	47	192.5	88	90	141	109	90	73	47	87	65	109	138	2.584	-1.026	0.175	-0.3841	-0.9675	0.3407	0.931	0.8236	2.584	-0.02104	0.02104	-0.5254	-0.9062	2.865	-0.9166	1.672	-0.175	-0.9665	0.2764	0.9943	1.96	2.865	-0.1549	0.06139	-0.06139	-0.4324	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
