Sample	>= 50000 bp	25000-50000 bp	10000-25000 bp	5000-10000 bp	1000-5000 bp	0-1000 bp
KH1A_102_asm_final	141.0	383.0	1429.0	2625.0	25365.0	102946.0
KH1B_101_asm_final	126.0	323.0	1609.0	3196.0	34763.0	94002.0
KH2A_104_asm_final	226.0	389.0	1097.0	1679.0	17138.0	58861.0
KH2B_103_asm_final	312.0	442.0	1349.0	2311.0	20727.0	62422.0
KH3A_106_asm_final	164.0	515.0	2393.0	4218.0	37875.0	109781.0
KH3B_105_asm_final	269.0	618.0	2361.0	4573.0	45330.0	125130.0
WH1A_090_asm_final	338.0	597.0	2015.0	3080.0	30860.0	108021.0
WH1B_089_asm_final	427.0	583.0	1868.0	3258.0	37928.0	141112.0
WH2A_092_asm_final	140.0	319.0	1551.0	2961.0	33473.0	91384.0
WH2B_091_asm_final	164.0	511.0	1946.0	3419.0	29767.0	95905.0
WH3A_094_asm_final	397.0	689.0	1829.0	2964.0	27822.0	90373.0
WH3B_093_asm_final	418.0	750.0	2205.0	3401.0	28505.0	100986.0
