Sample	N50 (Kbp)	L50 (K)	Largest contig (Kbp)	Length (Mbp)
KH1A_102_asm_final	3.939	6.083	262.053	143.622864
KH1B_101_asm_final	3.146	9.624	257.702	170.38967499999998
KH2A_104_asm_final	6.486	2.606	347.39	113.158631
KH2B_103_asm_final	7.365	2.8930000000000002	349.599	142.150782
KH3A_106_asm_final	4.159	9.040000000000001	341.39300000000003	205.99403099999998
KH3B_105_asm_final	3.966	10.322000000000001	285.644	241.655884
WH1A_090_asm_final	6.4430000000000005	4.7090000000000005	1108.786	201.090385
WH1B_089_asm_final	4.792	6.466	482.761	229.06222599999998
WH2A_092_asm_final	3.287	8.703	301.002	162.895257
WH2B_091_asm_final	4.759	6.381	403.387	172.28428499999998
WH3A_094_asm_final	7.604	3.837	357.668	189.708909
WH3B_093_asm_final	8.342	4.1	370.244	206.257734
